Year,Rnd,Pick,Player,Team,Draft Trades,Pos,Height,Weight,Age,YOS,Pre-Draft Team
2000,1,1,Kenyon Martin,New Jersey Nets,,PF,6-9,240,22,15,Cincinnati
2000,1,2,Stromile Swift,Vancouver Grizzlies,,F-C,6-9,225,20,9,LSU
2000,1,3,Darius Miles,Los Angeles Clippers,,F,6-9,210,18,9,East St. Louis Senior High School (Illinois)
2000,1,4,Marcus Fizer,Chicago Bulls,,F,6-8,246,21,6,Iowa State
2000,1,5,Mike Miller,Orlando Magic,,SF/SG,6-8,218,20,17,Florida
2000,1,6,DerMarr Johnson,Atlanta Hawks,,GF,6-9,201,20,8,Cincinnati
2000,1,7,Chris Mihm,Chicago Bulls,CHI to CLE,C,7-0,265,20,9,Texas
2000,1,8,Jamal Crawford,Cleveland Cavaliers,CLE to CHI,SG/PG,6-5,195,20,19,Michigan
2000,1,9,Joel Przybilla,Houston Rockets,HOU to MIL,C,7-1,245,20,13,Minnesota
2000,1,10,Keyon Dooling,Orlando Magic,ORL to LAC,PG/SG,6-3,196,20,13,Missouri
2000,1,11,Jerome Moiso,Boston Celtics,,FC,6-10,235,22,5,UCLA
2000,1,12,Etan Thomas,Dallas Mavericks,,C,6-9,256,22,11,Syracuse
2000,1,13,Courtney Alexander,Orlando Magic,ORL to DAL,SG,6-5,205,23,5,Fresno State
2000,1,14,Mateen Cleaves,Detroit Pistons,,G,6-2,205,22,6,Michigan State
2000,1,15,Jason Collier,Milwaukee Bucks,MIL to HOU,F-C,7-0,260,22,5,Georgia Tech
2000,1,16,Hedo Turkoglu,Sacramento Kings,,SF,6-10,220,21,15,Anadolu Efes (Turkey)
2000,1,17,Desmond Mason,Seattle SuperSonics,,G-F,6-7,224,22,10,Oklahoma State
2000,1,18,Quentin Richardson,Los Angeles Clippers,,SG/SF,6-6,223,20,13,DePaul
2000,1,19,Jamaal Magloire,Charlotte Hornets (1988),,C,6-11,259,22,12,Kentucky
2000,1,20,Speedy Claxton,Philadelphia Sixers,,G,5-11,170,22,10,Hofstra
2000,1,21,Morris Peterson,Toronto Raptors,,G,6-7,220,22,11,Michigan State
2000,1,22,Donnell Harvey,New York Knicks,NYK to DAL,F,6-8,220,19,5,Florida
2000,1,23,DeShawn Stevenson,Utah Jazz,,SG,6-5,218,19,13,Washington Union High School (California)
2000,1,24,Dalibor Bagaric,Chicago Bulls,,C,7-1,255,20,3,KK Dubrava Zagreb (Croatia)
2000,1,25,Jake Tsakalidis,Phoenix Suns,,C,7-2,285,21,7,AEK Athens (Greece)
2000,1,26,Mamadou N'Diaye,Denver Nuggets,,C,7-0,255,25,5,Auburn
