Year,Player,Position,Age,FreeAgentType,OldTeam,NewTeam,Text,AAV
2016,Justin Hamilton,C,33-041,UFA,,BRK,Signed 2-yr/$6M deal with Nets,3
2016,Kendrick Perkins,C,38-183,UFA,NOP,,,0
2016,Chris Kaman,C,41-014,UFA,POR,,,0
2016,Greg Smith,C,32-124,UFA,MIN,,,0
2016,Robert Sacre,C,33-340,UFA,LAL,NOP,Reportedly agreed to training camp deal with Pelicans,0
2016,Joakim Noah,C,38-076,UFA,CHI,NYK,Signed 4-yr/$72M deal with Knicks,18
2016,Roy Hibbert,C,36-152,UFA,LAL,CHA,Signed 1-yr/$5M deal with Hornets,5
2016,Dewayne Dedmon,C,33-273,UFA,ORL,SAS,Signed 2-yr/$6M deal with Spurs,3
2016,Festus Ezeli,C,33-203,RFA,GSW,POR,Signed 2-yr/$16M deal with Trail Blazers,8
2016,Boban Marjanović,C,34-270,RFA,SAS,DET,Signed 3-yr/$21M deal with Pistons,7
2016,Cole Aldrich,C,34-193,UFA,LAC,MIN,Signed 3-yr/$22M deal with Timberwolves,7.333333333
2016,Timofey Mozgov,C,36-300,UFA,CLE,LAL,Signed 4-yr/$64M deal with Lakers,16
2016,Zaza Pachulia,C,39-091,UFA,DAL,GSW,Signed 1-yr/$2.9M deal with Warriors,2.9
2016,Ian Mahinmi,C,36-188,UFA,IND,WAS,Signed 4-yr/$64M deal with Wizards,16
2016,Dwight Howard,C,37-155,UFA,HOU,ATL,Signed 3-yr/$70.5M deal with Hawks,23.5
2016,Andre Drummond,C,29-275,RFA,DET,DET,Signed 5-yr/$130M deal with Pistons,26
2016,Hassan Whiteside,C,33-333,UFA,MIA,MIA,Signed 4-yr/$98M deal with Heat,24.5
2016,Tarik Black,C-F,31-171,RFA,LAL,LAL,Signed 2-yr/$12.85M deal with Lakers,6.425
2016,Chris Andersen,C-F,44-309,UFA,MEM,CLE,Signed 1-yr deal with Cavaliers,0
2016,Marreese Speights,C-F,35-281,UFA,GSW,LAC,Signed 1-yr/$1.4M deal with Clippers,1.4
2016,Miles Plumlee,C-F,34-253,RFA,MIL,MIL,Signed 4-yr/$52M deal with Bucks,13
2016,Meyers Leonard,C-F,31-074,RFA,POR,POR,Reportedly agreed to 4-yr/$41M deal with Trail Blazers,10.25
2016,Al Jefferson,C-F,38-128,UFA,CHO,IND,Signed 3-yr/$30M deal with Pacers,10
2016,Jordan Hill,C-F,35-289,UFA,IND,MIN,Signed 2-yr/$8M deal with Timberwolves,4
2016,Bismack Biyombo,C-F,30-257,UFA,TOR,ORL,Signed 4-yr/$72M deal with Magic,18
2016,Pau Gasol,C-F,42-310,UFA,CHI,SAS,Signed 2-yr/$30M deal with Spurs,15
2016,Al Horford,C-F,36-343,UFA,ATL,BOS,Signed 4-yr/$113M deal with Celtics,28.25
2017,Nikola Peković,C,37-129,UFA,MIN,,,0
2017,Festus Ezeli,C,33-203,UFA,GSW,,,0
2017,Stephen Zimmerman,C,26-245,UFA,ORL,LAL,Reportedly agreed to deal with Lakers,0
2017,Marshall Plumlee,C,30-302,UFA,NYK,LAC,Signed 1-yr deal with Clippers,0
2017,Joel Anthony,C,40-276,UFA,SAS,,,0
2017,Andrew Bogut,C,38-165,UFA,CLE,LAL,Reportedly agreed to 1-yr deal with Lakers,0
2017,Jeff Withey,C,33-066,UFA,UTA,DAL,Signed 1-yr deal with Mavericks,0
2017,Roy Hibbert,C,36-152,UFA,DEN,,,0
2017,Justin Hamilton,C,33-041,UFA,TOR,,,0
2017,Alex Len,C,29-330,RFA,PHO,,,0
2017,Aron Baynes,C,36-154,UFA,DET,BOS,Signed 1-yr/$4.3M deal with Celtics,4.3
2017,JaVale McGee,C,35-113,UFA,GSW,GSW,Signed 1-yr deal with Warriors,0
2017,Zaza Pachulia,C,39-091,UFA,GSW,GSW,Signed 1-yr/$3.5M deal with Warriors,3.5
2017,Dewayne Dedmon,C,33-273,UFA,SAS,ATL,Signed 2-yr/$14M deal with Hawks,7
2017,Jordan Hill,C-F,35-289,UFA,MIN,,,0
2017,Chris Andersen,C-F,44-309,UFA,CLE,,,0
