,Player,Season,Minutes,Total Distance (mi) Per 36 Minutes,Load Slow Per 36 Minutes,Load Medium Per 36 Minutes,Load Fast Per 36 Minutes,Total Load Per 36 Minutes,Total Load Accelerating Per 36 Minutes,Total Load Decelerating Per 36 Minutes,Raw Load Per 36 Minutes,Mechanical Accelerating Power Per 36 Minutes,% Time Slow,% Time Medium,% Time Fast,Average Speed (mph)
1,Pascal Siakam,2018-19,956.862,2.780,7833.248,3147.787,899.056,11880.075,4006.297,3939.736,7946.024,79322.249,68.44,23.96,7.60,4.297
2,Draymond Green,2015-16,936.461,2.443,7485.170,2327.622,548.538,10361.319,3547.717,3469.387,7017.115,61898.829,74.35,20.53,5.12,3.809
3,Draymond Green,2018-19,916.403,2.499,7635.882,2401.062,611.256,10648.202,3604.986,3525.205,7130.202,64414.904,74.35,20.38,5.27,3.849
4,Al Horford,2021-22,874.150,2.550,7545.319,2478.677,526.239,10550.240,3526.665,3459.131,6985.791,63374.141,71.84,22.64,5.52,3.942
5,Draymond Green,2017-18,866.843,2.473,7218.988,2415.842,559.434,10194.269,3508.482,3430.115,6938.604,62179.648,73.50,21.09,5.41,3.883
6,Draymond Green,2014-15,850.156,2.448,8191.883,2346.751,508.889,11047.538,3690.808,3638.611,7329.420,64041.463,75.67,19.79,4.54,3.747
7,Deandre Ayton,2020-21,850.122,2.457,7591.103,2150.335,341.458,10082.914,3450.239,3400.086,6850.315,56697.089,73.68,21.96,4.36,3.847
8,Giannis Antetokounmpo,2020-21,849.471,2.504,7409.507,2381.654,557.954,10349.114,3384.365,3295.033,6679.402,62762.072,75.03,19.72,5.25,3.915
9,Anthony Davis,2019-20,820.891,2.326,7372.686,2037.148,377.768,9787.605,3278.331,3181.088,6459.428,55352.660,77.65,18.47,3.88,3.616
10,Tim Duncan,2013-14,795.277,2.531,8228.598,2503.564,560.053,11292.194,3816.735,3747.269,7564.031,66480.217,72.47,20.74,6.79,3.942
11,Harrison Barnes,2015-16,790.378,2.776,7572.842,3161.070,934.821,11668.730,3903.396,3816.127,7719.534,78698.525,67.79,23.59,8.63,4.334
12,Marc Gasol,2018-19,787.502,2.331,7894.403,1968.817,174.759,10037.972,3360.164,3302.805,6662.993,52891.037,76.93,20.81,2.26,3.607
13,Tristan Thompson,2014-15,777.807,2.715,8370.963,2817.716,643.645,11832.299,3947.195,3867.948,7815.122,73714.291,70.87,22.23,6.90,4.197
14,Jae Crowder,2020-21,775.193,2.602,7118.813,2622.408,624.122,10365.341,3489.823,3419.643,6909.465,65274.818,70.84,22.71,6.45,4.067
15,Draymond Green,2021-22,749.422,2.449,7158.980,2234.102,530.188,9923.259,3403.880,3359.119,6762.992,59112.868,74.31,20.32,5.37,3.813
16,Nikola Jokic,2019-20,742.231,2.494,8073.591,2269.586,311.008,10654.179,3482.220,3407.901,6890.112,59305.634,73.80,22.57,3.63,3.872
17,Harrison Barnes,2014-15,739.228,2.721,8157.323,2981.235,953.454,12092.029,4049.395,3967.356,8016.747,79231.970,70.94,21.02,8.05,4.162
18,David West,2013-14,732.837,2.316,7849.468,2049.422,299.466,10198.345,3424.232,3383.285,6807.535,54821.243,76.23,20.13,3.64,3.593
