Season,Team,Point Diff Rank,Point Diff,W,L,Win%,Exp W82,Exp W,Win Diff Rank,Win Diff,Offense Rank,Offense,Defense Rank,Defense,Spread Diff Rank,Spread Diff
2021-22,Boston Celtics,2,7.4,51,31,62.20%,58.8,58.8,29,-7.8,10,114.3,1,106.9,1,3.3
2021-22,Golden State Warriors,5,5.2,53,29,64.60%,54.2,54.2,22,-1.2,17,112.8,2,107.6,12,0.9
2021-22,Phoenix Suns,1,8.5,64,18,78.00%,60.9,60.9,6,3.1,3,116.1,3,107.6,5,1.5
2021-22,Miami Heat,6,5.1,53,29,64.60%,53.6,53.6,20,-0.6,11,114.2,4,109.2,8,1.2
2021-22,Memphis Grizzlies,4,6.2,56,26,68.30%,56.1,56.1,17,-0.1,4,115.8,5,109.6,2,3.1
2021-22,Cleveland Cavaliers,13,1.9,44,38,53.70%,45.8,45.8,24,-1.8,19,111.8,6,110,3,2.4
2021-22,LA Clippers,17,0.5,42,40,51.20%,42.2,42.2,19,-0.2,24,110.5,7,110,14,0.2
2021-22,Dallas Mavericks,7,3.8,52,30,63.40%,50.5,50.5,9,1.5,12,114.1,8,110.3,9,1.2
2021-22,Utah Jazz,3,7,49,33,59.80%,57.5,57.5,30,-8.5,1,117.6,9,110.6,20,-0.7
2021-22,Toronto Raptors,11,2.2,48,34,58.50%,46.6,46.6,10,1.4,16,112.9,10,110.7,11,1.1
2021-22,Philadelphia 76ers,9,3.3,51,31,62.20%,49.4,49.4,8,1.6,13,114,11,110.7,19,-0.6
2021-22,New York Knicks,18,-0.1,37,45,45.10%,40.8,40.8,26,-3.8,21,110.9,12,111,13,0.2
2021-22,Minnesota Timberwolves,10,3.2,46,36,56.10%,49,49,25,-3,7,114.7,13,111.6,6,1.4
2021-22,Milwaukee Bucks,8,3.6,51,31,62.20%,50,50,14,1,5,115.6,14,112,26,-1.8
2021-22,Denver Nuggets,12,2.1,48,34,58.50%,46.4,46.4,7,1.6,9,114.6,15,112.4,17,-0.3
2021-22,San Antonio Spurs,20,-0.3,34,48,41.50%,40.3,40.3,27,-6.3,18,112.6,16,112.9,4,1.7
2021-22,Orlando Magic,27,-8.5,22,60,26.80%,20.7,20.7,11,1.3,30,104.7,17,113.1,18,-0.5
2021-22,New Orleans Pelicans,21,-2.2,36,46,43.90%,35.4,35.4,15,0.6,20,111.1,18,113.2,7,1.4
2021-22,Oklahoma City Thunder,28,-8.6,24,58,29.30%,20.4,20.4,3,3.6,29,104.8,19,113.4,15,0.2
2021-22,Charlotte Hornets,15,1.2,43,39,52.40%,44,44,21,-1,6,114.8,20,113.6,10,1.1
2021-22,Brooklyn Nets,16,1,44,38,53.70%,43.6,43.6,16,0.4,8,114.7,21,113.6,27,-1.9
2021-22,Chicago Bulls,19,-0.2,46,36,56.10%,40.4,40.4,2,5.6,14,113.9,22,114.1,24,-1.3
