Team,PG,SG,SF,PF,C,Poss,Diff Rank,Diff,OFFENSE: Pts/Poss Rank,OFFENSE: Pts/Poss,OFFENSE: eFG% Rank,OFFENSE: eFG%,OFFENSE: TOV% Rank,OFFENSE: TOV%,OFFENSE: ORB% Rank,OFFENSE: ORB%,OFFENSE: FT Rate Rank,OFFENSE: FT Rate,DEFENSE: Pts/Poss Rank,DEFENSE: Pts/Poss,DEFENSE: eFG% Rank,DEFENSE: eFG%,DEFENSE: TOV% Rank,DEFENSE: TOV%,DEFENSE: ORB% Rank,DEFENSE: ORB%,DEFENSE: FT Rate Rank,DEFENSE: FT Rate
League Averages,,,,,,,,,,109.1,,52.0%,,13.8%,,24.7%,,20.5,,109.1,,52.0%,,13.8%,,24.7%,,20.5
HOU,Chris Paul,James Harden,Trevor Ariza,PJ Tucker,Clint Capela,394,67,+13.4,38,111.4,25,52.2%,79,11.9%,62,25.6%,38,17.8,75,98.0,46,51.6%,96,19.6%,83,19.7%,42,19.8
NOP,Rajon Rondo,Jrue Holiday,E'Twaun Moore,Nikola Mirotic,Anthony Davis,392,42,+8.7,29,107.4,58,54.2%,38,14.0%,33,21.4%,17,13.6,67,98.7,71,49.4%,46,14.0%,62,22.0%,92,10.4
CLE,George Hill,JR Smith,LeBron James,Kevin Love,Tristan Thompson,329,25,-2.5,54,114.3,54,53.8%,54,13.1%,83,31.0%,29,17.3,12,116.8,8,57.7%,12,10.7%,88,19.2%,62,15.8
TOR,Kyle Lowry,DeMar DeRozan,OG Anunoby,Serge Ibaka,Jonas Valanciunas,289,29,+4.5,75,116.3,71,57.3%,4,16.6%,75,30.1%,75,22.4,25,111.8,42,52.8%,25,12.2%,42,27.1%,79,12.9
GSW,Stephen Curry,Klay Thompson,Andre Iguodala,Kevin Durant,Draymond Green,279,92,+25.8,88,123.7,100,63.0%,58,12.9%,8,15.7%,62,21.3,79,97.9,38,53.0%,92,19.6%,71,21.6%,75,14.3
CLE,George Hill,JR Smith,Kyle Korver,LeBron James,Kevin Love,259,62,+13.3,96,124.7,92,61.4%,75,12.0%,4,15.1%,71,21.9,29,111.4,21,56.2%,88,18.3%,17,29.2%,21,22.0
IND,Darren Collison,Victor Oladipo,Bojan Bogdanovic,Thaddeus Young,Myles Turner,248,83,+17.1,25,107.3,50,53.6%,0,16.9%,54,24.1%,58,20.7,100,90.1,92,43.6%,83,18.2%,50,25.7%,29,21.4
BOS,Terry Rozier,Jaylen Brown,Jayson Tatum,Marcus Morris,Al Horford,232,38,+7.0,67,114.7,46,53.5%,88,10.3%,21,17.9%,88,25.4,38,107.7,58,50.0%,38,12.8%,12,29.5%,25,21.5
GSW,Stephen Curry,Klay Thompson,Kevin Durant,Draymond Green,Kevon Looney,222,58,+11.6,21,107.2,21,52.0%,42,14.0%,46,23.2%,25,14.4,88,95.6,88,44.1%,79,18.1%,4,31.9%,71,14.7
