,Screener Defender,Season,Picks,Picks Per 100 Possessions,Possessions,Points Per Chance,Possessions (Total)
1,Nikola Jokic,2019-20,569,42.558,469,1.070,1337
2,Marc Gasol,2018-19,440,30.556,373,0.896,1440
3,Tim Duncan,2013-14,426,29.853,370,0.905,1427
4,Brook Lopez,2020-21,403,30.097,350,0.969,1339
5,DeAndre Jordan,2014-15,388,40.041,326,0.894,969
6,Deandre Ayton,2020-21,367,23.331,316,0.931,1573
7,Joel Embiid,2020-21,358,48.248,305,0.916,742
8,Ivica Zubac,2020-21,350,61.947,291,1.068,565
9,Hassan Whiteside,2015-16,349,64.273,282,0.848,543
10,Kevon Looney,2018-19,341,38.058,292,0.922,896
11,Nikola Jokic,2018-19,341,32.139,287,0.884,1061
12,Nikola Jokic,2020-21,334,48.406,285,1.128,690
13,Brook Lopez,2019-20,313,46.856,264,1.007,668
14,Kevin Love,2017-18,309,25.061,267,0.974,1233
15,Al Horford,2014-15,308,30.525,263,0.894,1009
16,Rudy Gobert,2017-18,303,39.453,255,0.939,768
17,Brook Lopez,2018-19,292,32.265,258,0.856,905
18,Enes Freedom,2018-19,291,31.769,264,0.966,916
19,Dwight Howard,2014-15,287,24.219,257,0.919,1185
20,Jonas Valanciunas,2020-21,278,59.657,243,1.020,466
21,Daniel Theis,2019-20,275,28.856,232,1.017,953
22,Timofey Mozgov,2014-15,273,27.632,242,0.848,988
23,Clint Capela,2017-18,261,25.588,233,0.953,1020
24,Bam Adebayo,2019-20,259,19.100,225,0.885,1356
25,Marcin Gortat,2016-17,257,32.045,219,0.798,802
26,Marcus Morris Sr.,2020-21,256,21.769,225,0.974,1176
27,DeAndre Jordan,2016-17,255,52.361,203,0.865,487
28,Jonas Valanciunas,2015-16,255,42.929,214,0.903,594
29,Serge Ibaka,2013-14,254,23.154,210,0.782,1097
30,Robin Lopez,2013-14,254,35.876,224,0.841,708
31,Bismack Biyombo,2015-16,233,25.054,193,0.807,930
32,Draymond Green,2014-15,231,14.894,190,0.896,1551
33,Andrew Bogut,2015-16,230,31.680,204,0.844,726
34,Marcin Gortat,2014-15,226,37.294,189,0.812,606
35,Montrezl Harrell,2019-20,226,44.488,191,1.047,508
36,Clint Capela,2018-19,215,32.774,185,0.839,656
37,Steven Adams,2015-16,215,20.131,185,0.973,1068
38,Kelly Olynyk,2016-17,213,31.649,176,1.153,673
39,Steven Adams,2013-14,213,33.756,181,0.979,631
40,Marc Gasol,2019-20,211,45.770,184,0.946,461
41,Tristan Thompson,2015-16,211,17.897,191,0.938,1179
42,Rudy Gobert,2019-20,209,40.504,174,0.972,516
43,Clint Capela,2020-21,209,18.174,185,0.973,1150
44,Serge Ibaka,2018-19,209,21.132,177,0.594,989
45,Ian Mahinmi,2015-16,203,62.462,150,0.626,325
46,Tristan Thompson,2016-17,202,18.052,175,0.806,1119
47,Tristan Thompson,2014-15,201,14.704,173,0.757,1367
48,Al Horford,2016-17,198,16.938,162,0.945,1169
49,Rudy Gobert,2020-21,198,26.400,172,0.971,750
50,Chris Andersen,2013-14,193,33.800,170,0.942,571
51,Kendrick Perkins,2013-14,193,26.152,164,0.970,738
52,Pau Gasol,2014-15,192,32.269,173,0.723,595
53,Tristan Thompson,2017-18,191,24.425,180,1.111,782
54,Myles Turner,2015-16,190,52.198,143,0.875,364
55,Roy Hibbert,2013-14,189,19.305,166,0.898,979
56,Dwight Howard,2019-20,188,33.274,160,0.907,565
57,Aron Baynes,2017-18,187,24.703,161,0.914,757
58,Brook Lopez,2014-15,184,41.348,159,0.950,445
59,Derrick Favors,2016-17,183,43.365,150,1.183,422
60,Andrew Bogut,2014-15,182,21.513,153,0.994,846
61,Rudy Gobert,2016-17,182,37.917,149,1.094,480
62,Al Jefferson,2015-16,180,58.632,149,0.922,307
63,LaMarcus Aldridge,2013-14,179,20.985,148,0.888,853
64,Chris Bosh,2013-14,179,14.745,156,0.859,1214
65,Steven Adams,2017-18,173,42.822,150,0.888,404
66,Mason Plumlee,2015-16,171,27.760,145,0.953,616
67,Al Horford,2015-16,169,25.841,137,0.887,654
68,Serge Ibaka,2019-20,168,32.184,146,1.007,522
69,Festus Ezeli,2015-16,168,40.000,140,0.874,420
70,Ivica Zubac,2019-20,166,25.938,135,0.978,640
71,Larry Nance Jr.,2017-18,163,27.816,136,0.927,586
72,LaMarcus Aldridge,2018-19,162,34.395,124,0.892,471
73,LaMarcus Aldridge,2016-17,162,15.898,142,0.867,1019
74,Karl-Anthony Towns,2017-18,161,48.788,141,1.000,330
75,Bobby Portis,2020-21,160,21.798,133,0.955,734
76,Steven Adams,2018-19,158,47.305,131,1.172,334
77,Jusuf Nurkic,2020-21,157,45.773,124,0.944,343
78,Steven Adams,2016-17,156,48.903,131,0.880,319
79,Josh McRoberts,2015-16,154,61.847,112,0.897,249
80,Marcin Gortat,2017-18,154,49.201,130,1.053,313
81,David West,2013-14,153,12.124,132,0.647,1262
82,Jonas Valanciunas,2016-17,152,35.023,123,0.881,434
83,Andrew Bogut,2018-19,151,41.713,118,0.850,362
84,Pau Gasol,2016-17,150,21.459,136,1.043,699
85,Draymond Green,2018-19,149,8.544,123,0.831,1744
86,Joel Embiid,2018-19,149,22.239,126,0.914,670
87,DeAndre Jordan,2015-16,149,38.402,132,0.776,388
88,Marcin Gortat,2013-14,145,21.261,121,0.607,682
89,Kevin Love,2015-16,145,12.708,127,0.898,1141
90,Zach Collins,2018-19,143,26.580,118,0.958,538
91,Al Horford,2018-19,143,22.520,112,0.765,635
92,Zaza Pachulia,2016-17,142,32.719,110,0.782,434
93,Jakob Poeltl,2018-19,140,41.176,125,0.888,340
94,Giannis Antetokounmpo,2020-21,139,8.720,122,0.878,1594
95,Marreese Speights,2015-16,137,33.827,119,0.983,405
96,Pero Antic,2014-15,136,34.430,118,0.975,395
97,Dirk Nowitzki,2013-14,136,27.309,113,0.974,498
98,Channing Frye,2015-16,134,29.911,104,0.811,448
99,Draymond Green,2015-16,133,7.514,118,0.822,1770
100,Clint Capela,2016-17,133,23.623,118,1.000,563
101,Joel Embiid,2017-18,133,23.878,118,0.958,557
102,Enes Freedom,2015-16,131,20.827,114,0.800,629
103,Dwight Howard,2020-21,129,41.613,109,0.965,310
104,Anthony Davis,2019-20,128,8.306,112,0.805,1541
105,Jonas Valanciunas,2017-18,125,25.826,104,0.841,484
106,Andray Blatche,2013-14,124,39.241,106,0.877,316
107,Joakim Noah,2014-15,124,17.010,108,0.963,729
108,DeAndre Jordan,2013-14,123,14.122,113,0.973,871
109,Taj Gibson,2020-21,122,46.212,111,1.071,264
110,Jeff Green,2019-20,121,17.460,103,0.779,693
111,David West,2016-17,121,27.626,101,0.842,438
112,Marc Gasol,2014-15,119,14.819,103,0.808,803
113,Derrick Favors,2020-21,119,39.933,98,1.130,298
114,Dwight Howard,2016-17,119,38.141,99,1.109,312
115,Ed Davis,2015-16,118,28.993,97,1.030,407
116,Tim Duncan,2015-16,116,28.293,101,0.856,410
117,Robin Lopez,2016-17,116,38.158,100,1.117,304
118,Joel Embiid,2019-20,114,40.714,99,1.111,280
119,Carmelo Anthony,2017-18,113,28.463,95,0.969,397
120,  Nene,2014-15,113,22.967,94,0.670,492
121,Andre Drummond,2020-21,113,45.935,90,0.901,246
122,Tiago Splitter,2013-14,113,11.426,94,0.916,989
123,Greg Monroe,2016-17,113,44.314,79,0.841,255
124,Mason Plumlee,2019-20,111,26.303,94,1.043,422
125,Udonis Haslem,2015-16,108,66.258,85,1.070,163
126,Al Horford,2017-18,108,8.295,97,0.897,1302
127,Ersan Ilyasova,2018-19,107,18.972,92,0.882,564
128,Kevin Garnett,2013-14,107,23.991,85,0.690,446
129,Myles Turner,2019-20,105,35.836,89,1.044,293
130,Serge Ibaka,2016-17,105,18.010,90,1.056,583
131,Daniel Gafford,2020-21,105,30.882,96,0.917,340
132,Thon Maker,2017-18,105,43.568,88,0.820,241
133,Festus Ezeli,2014-15,104,28.889,87,0.844,360
134,Marc Gasol,2020-21,104,63.415,82,1.096,164
135,Tyson Chandler,2014-15,102,30.178,84,0.944,338
136,Amar'e Stoudemire,2015-16,102,65.806,88,0.955,155
137,Kevin Love,2016-17,101,8.922,93,0.895,1132
138,Channing Frye,2016-17,99,32.890,86,1.102,301
139,Samuel Dalembert,2013-14,98,39.044,87,1.023,251
140,Robin Lopez,2020-21,97,46.635,77,0.859,208
141,Tim Duncan,2014-15,97,20.293,86,0.818,478
