,Screener Defender,Season,Picks,Picks Per 100 Possessions,Possessions,Points Per Chance,Possessions (Total)
1,Clint Capela,2017-18,604,11.892,554,0.905,5079
2,Clint Capela,2018-19,594,11.487,542,0.943,5171
3,Kevon Looney,2018-19,401,9.943,375,0.934,4033
4,Bam Adebayo,2020-21,372,8.192,345,0.870,4541
5,P.J. Tucker,2019-20,263,4.343,237,0.882,6056
6,Julius Randle,2017-18,245,5.399,228,0.996,4538
7,Bam Adebayo,2019-20,232,3.752,213,0.949,6184
8,Richaun Holmes,2020-21,230,6.265,222,0.941,3671
9,  Nene,2017-18,224,12.577,205,0.917,1781
10,Tristan Thompson,2017-18,223,7.491,211,1.099,2977
11,Clint Capela,2019-20,214,7.836,192,1.073,2731
12,David West,2017-18,206,8.841,183,0.940,2330
13,Bismack Biyombo,2020-21,199,7.210,183,0.956,2760
14,Draymond Green,2018-19,199,3.257,177,1.006,6110
15,Tristan Thompson,2016-17,195,3.377,186,0.936,5775
16,Nic Claxton,2020-21,189,12.848,175,0.747,1471
17,Steven Adams,2017-18,182,3.401,171,0.942,5352
18,DeAndre Jordan,2017-18,180,3.681,168,0.958,4890
19,DeAndre Jordan,2016-17,175,3.123,163,0.896,5604
20,P.J. Washington,2020-21,174,4.309,159,0.912,4038
21,Jeff Green,2019-20,167,6.122,151,0.724,2728
22,Montrezl Harrell,2018-19,163,3.304,150,1.133,4934
23,Draymond Green,2017-18,161,2.514,147,0.898,6403
24,Marcus Morris Sr.,2020-21,152,3.607,142,0.908,4214
25,Draymond Green,2016-17,150,2.349,140,0.936,6387
26,Blake Griffin,2020-21,149,4.965,142,0.958,3001
27,Jeff Green,2020-21,148,3.597,136,1.080,4114
28,Willie Cauley-Stein,2018-19,144,3.045,137,1.044,4729
29,Mitchell Robinson,2018-19,143,5.155,135,1.089,2774
30,Zaza Pachulia,2016-17,142,4.621,129,0.760,3073
31,DeAndre Jordan,2020-21,140,5.437,131,1.098,2575
32,Ryan Anderson,2017-18,140,3.814,127,1.063,3671
33,Larry Nance Jr.,2017-18,139,3.957,131,0.932,3513
34,Bobby Portis,2020-21,134,3.673,122,0.815,3648
35,Kevin Love,2017-18,134,2.947,131,1.023,4547
36,Kevon Looney,2017-18,133,5.023,127,0.969,2648
37,Dwight Powell,2018-19,130,3.840,118,0.924,3385
38,Steven Adams,2018-19,125,2.090,119,0.924,5981
39,Tarik Black,2017-18,124,10.973,118,0.797,1130
40,Cody Zeller,2020-21,122,5.760,114,0.877,2118
41,Marquese Chriss,2019-20,120,4.813,109,1.119,2493
42,David West,2016-17,120,5.668,112,0.938,2117
43,Draymond Green,2015-16,115,1.505,109,0.798,7643
44,Montrezl Harrell,2017-18,115,4.304,103,0.680,2672
45,Christian Wood,2020-21,115,4.149,106,0.991,2772
46,Tristan Thompson,2015-16,115,2.065,107,0.880,5569
47,Kevon Looney,2020-21,114,4.544,108,0.807,2509
48,Montrezl Harrell,2019-20,114,2.698,102,1.010,4225
49,P.J. Tucker,2017-18,114,2.010,107,0.832,5671
50,Brook Lopez,2020-21,114,2.125,105,1.010,5365
51,Mitchell Robinson,2019-20,113,3.886,103,1.117,2908
52,Clint Capela,2016-17,112,2.995,103,1.212,3740
53,Giannis Antetokounmpo,2020-21,112,1.915,106,0.943,5849
54,Isaiah Stewart,2020-21,110,3.725,101,0.941,2953
55,Kenneth Faried,2018-19,110,6.803,102,0.902,1617
56,Joel Embiid,2018-19,108,2.113,101,0.960,5111
57,Draymond Green,2020-21,108,2.453,99,1.061,4402
58,Nerlens Noel,2018-19,107,4.646,98,0.857,2303
59,Patrick Patterson,2017-18,107,4.273,101,0.792,2504
60,  Nene,2016-17,106,3.704,99,0.747,2862
61,Steven Adams,2016-17,105,2.035,98,0.806,5159
62,DeAndre Jordan,2014-15,105,1.620,98,0.806,6482
63,Mason Plumlee,2018-19,105,2.681,98,0.806,3917
64,Jordan Bell,2018-19,103,5.610,96,0.979,1836
65,Al Horford,2018-19,103,2.200,99,1.051,4682
66,Mason Plumlee,2019-20,102,3.922,93,0.821,2601
67,Brook Lopez,2017-18,102,2.830,94,0.926,3604
68,Montrezl Harrell,2016-17,101,4.535,94,1.128,2227
69,Dwight Powell,2017-18,101,3.056,95,1.021,3305
70,Steven Adams,2015-16,100,1.960,93,0.710,5102
71,DeAndre Jordan,2015-16,100,1.801,94,0.840,5553
72,Joel Embiid,2017-18,98,2.247,93,0.871,4362
73,Draymond Green,2014-15,97,1.457,91,0.857,6658
74,Kelly Olynyk,2020-21,97,2.354,93,0.946,4121
75,Deandre Ayton,2020-21,97,1.671,92,1.163,5804
76,  Nene,2018-19,95,7.838,86,0.826,1212
77,Dwight Howard,2015-16,94,1.920,87,0.809,4896
78,Bobby Portis,2018-19,93,3.539,88,1.159,2628
79,Pau Gasol,2016-17,93,2.462,86,0.953,3778
80,Marcin Gortat,2017-18,93,2.090,87,0.908,4449
81,P.J. Tucker,2020-21,92,2.187,86,1.058,4206
82,DeMarcus Cousins,2018-19,92,4.881,85,1.071,1885
83,DeAndre Jordan,2018-19,91,2.169,84,1.012,4195
84,JaVale McGee,2017-18,90,5.668,85,1.000,1588
85,Nikola Jokic,2018-19,90,1.482,85,1.035,6071
86,Al Horford,2017-18,90,1.608,86,1.070,5597
87,Andre Drummond,2018-19,89,1.592,81,1.222,5589
88,Zaza Pachulia,2017-18,88,4.257,83,1.012,2067
89,Wendell Carter Jr.,2018-19,88,3.995,83,0.831,2203
90,Jeff Green,2017-18,87,1.835,81,1.049,4741
91,Cody Zeller,2018-19,87,3.412,80,1.250,2550
92,Mason Plumlee,2020-21,87,2.885,78,1.038,3016
93,Isaiah Hartenstein,2018-19,87,18.996,80,0.913,458
94,Taj Gibson,2019-20,86,4.163,82,0.963,2066
95,Myles Turner,2018-19,86,1.898,81,0.938,4530
96,Noah Vonleh,2016-17,86,3.168,80,1.012,2715
97,JaVale McGee,2018-19,85,2.381,79,0.873,3570
98,Tristan Thompson,2014-15,85,1.546,76,0.961,5498
99,Jae'Sean Tate,2020-21,85,1.998,81,0.927,4254
100,Noah Vonleh,2018-19,85,2.426,74,0.946,3504
