,Screener Defender,Season,Picks,Picks Per 100 Possessions,Possessions,Points Per Chance,Possessions (Total)
1,Steven Adams,2018-19,2694,45.043,2201,0.969,5981
2,Marc Gasol,2018-19,2430,38.762,2015,0.881,6269
3,Nikola Jokic,2019-20,2419,40.601,2037,0.991,5958
4,Nikola Jokic,2018-19,2206,36.337,1860,0.949,6071
5,Nikola Jokic,2020-21,2194,38.640,1867,0.970,5678
6,Marcin Gortat,2016-17,2135,36.022,1775,0.943,5927
7,Deandre Ayton,2020-21,2131,36.716,1815,0.958,5804
8,Brook Lopez,2018-19,2105,35.964,1816,0.899,5853
9,LaMarcus Aldridge,2018-19,2096,35.556,1754,0.933,5895
10,Andre Drummond,2018-19,2036,36.429,1714,0.961,5589
11,Andre Drummond,2015-16,2003,36.544,1693,0.923,5481
12,Brook Lopez,2020-21,1970,36.719,1686,0.978,5365
13,Nikola Vucevic,2018-19,1966,37.498,1669,1.004,5243
14,Rudy Gobert,2019-20,1939,36.807,1641,0.853,5268
15,Rudy Gobert,2016-17,1926,34.222,1639,0.894,5628
16,Karl-Anthony Towns,2017-18,1882,31.005,1617,0.970,6070
17,DeAndre Jordan,2016-17,1878,33.512,1602,0.860,5604
18,Rudy Gobert,2018-19,1851,33.208,1572,0.864,5574
19,DeAndre Jordan,2014-15,1835,28.309,1584,0.877,6482
20,Myles Turner,2018-19,1832,40.442,1543,0.939,4530
21,Joel Embiid,2018-19,1815,35.512,1515,0.915,5111
22,Marc Gasol,2016-17,1807,34.373,1503,0.903,5257
23,Steven Adams,2017-18,1805,33.726,1493,0.907,5352
24,Hassan Whiteside,2015-16,1802,38.870,1539,0.846,4636
25,Myles Turner,2016-17,1798,34.092,1551,0.883,5274
26,Andre Drummond,2017-18,1774,33.907,1501,0.953,5232
27,Dwight Howard,2017-18,1771,35.406,1505,0.934,5002
28,Nikola Vucevic,2020-21,1767,37.091,1526,0.996,4764
29,DeAndre Jordan,2015-16,1757,31.641,1522,0.829,5553
30,Pau Gasol,2014-15,1756,30.292,1553,0.857,5797
31,Rudy Gobert,2020-21,1736,33.117,1492,0.853,5242
32,Hassan Whiteside,2016-17,1720,35.052,1464,0.910,4907
33,Brook Lopez,2019-20,1720,37.769,1435,0.907,4554
34,Steven Adams,2016-17,1720,33.340,1440,0.960,5159
35,Andre Drummond,2016-17,1717,36.516,1447,0.965,4702
36,Ivica Zubac,2020-21,1717,45.030,1449,1.010,3813
37,Willie Cauley-Stein,2018-19,1716,36.287,1418,0.931,4729
38,DeAndre Jordan,2013-14,1711,26.102,1469,0.846,6555
39,Marc Gasol,2017-18,1692,36.146,1395,0.951,4681
40,Marcin Gortat,2014-15,1691,31.297,1423,0.859,5403
41,Joel Embiid,2020-21,1691,42.065,1408,0.902,4020
