Screener Defender,Season,Picks,Picks Per 100 Possessions,Possessions,Points Per Chance,Possessions (Total),SSI Player ID
Steven Adams,2018-19,2640,46.561,2148,0.958,5670,ff420623-89ef-11e6-9b37-a45e60e298d3
Marc Gasol,2018-19,2090,43.271,1721,0.886,4830,ff420730-89ef-11e6-bafd-a45e60e298d3
Andre Drummond,2015-16,2087,39.783,1742,0.919,5246,ff415268-89ef-11e6-a137-a45e60e298d3
Andre Drummond,2018-19,2048,38.467,1723,0.958,5324,ff415268-89ef-11e6-a137-a45e60e298d3
Marcin Gortat,2016-17,2014,39.328,1644,0.966,5121,ff4206b0-89ef-11e6-a91d-a45e60e298d3
Andre Drummond,2017-18,1945,37.218,1620,0.931,5226,ff415268-89ef-11e6-a137-a45e60e298d3
Nikola Jokic,2018-19,1931,38.520,1624,0.953,5013,ff41306e-89ef-11e6-8903-a45e60e298d3
LaMarcus Aldridge,2018-19,1921,35.410,1621,0.935,5425,ff4291dc-89ef-11e6-8416-a45e60e298d3
Nikola Vucevic,2021-22,1918,39.183,1591,0.966,4895,ff4220dc-89ef-11e6-83c6-a45e60e298d3
DeAndre Jordan,2013-14,1914,34.344,1569,0.829,5573,ff401ff8-89ef-11e6-99ab-a45e60e298d3
Nikola Vucevic,2018-19,1909,38.488,1621,0.996,4960,ff4220dc-89ef-11e6-83c6-a45e60e298d3
Dwight Howard,2017-18,1889,37.894,1592,0.946,4985,ff418bd7-89ef-11e6-9e3d-a45e60e298d3
Rudy Gobert,2016-17,1880,36.512,1580,0.868,5149,ff42a142-89ef-11e6-8c3b-a45e60e298d3
Brook Lopez,2018-19,1872,37.811,1602,0.904,4951,ff423f0c-89ef-11e6-99c1-a45e60e298d3
Karl-Anthony Towns,2017-18,1859,32.449,1571,0.956,5729,ff417a73-89ef-11e6-a33e-a45e60e298d3
Nikola Jokic,2021-22,1858,36.836,1604,0.943,5044,ff41306e-89ef-11e6-8903-a45e60e298d3
Joel Embiid,2021-22,1856,40.773,1519,0.938,4552,ff42281e-89ef-11e6-8097-a45e60e298d3
Rudy Gobert,2018-19,1853,35.662,1571,0.865,5196,ff42a142-89ef-11e6-8c3b-a45e60e298d3
Nikola Jokic,2019-20,1851,40.065,1574,0.971,4620,ff41306e-89ef-11e6-8903-a45e60e298d3
Steven Adams,2017-18,1850,37.449,1509,0.897,4940,ff420623-89ef-11e6-9b37-a45e60e298d3
DeAndre Jordan,2015-16,1849,35.799,1557,0.848,5165,ff401ff8-89ef-11e6-99ab-a45e60e298d3
Andre Drummond,2016-17,1840,39.132,1529,0.974,4702,ff415268-89ef-11e6-a137-a45e60e298d3
Jonas Valanciunas,2021-22,1833,41.358,1498,0.976,4432,ff429666-89ef-11e6-a005-a45e60e298d3
Brook Lopez,2015-16,1825,38.037,1550,0.938,4798,ff423f0c-89ef-11e6-99c1-a45e60e298d3
Myles Turner,2016-17,1822,36.317,1551,0.878,5017,ff41bc78-89ef-11e6-a5bf-a45e60e298d3
Marc Gasol,2016-17,1815,37.624,1490,0.893,4824,ff420730-89ef-11e6-bafd-a45e60e298d3
Marc Gasol,2017-18,1788,39.540,1450,0.962,4522,ff420730-89ef-11e6-bafd-a45e60e298d3
Hassan Whiteside,2016-17,1788,36.475,1510,0.899,4902,ff425d2b-89ef-11e6-8e2c-a45e60e298d3
