Screener Defender,Season,Picks,Picks Per 100 Possessions,Possessions,Points Per Chance,Possessions (Total),SSI Player ID
Clint Capela,2018-19,632,12.210,575,0.945,5176,ff414a2b-89ef-11e6-a46a-a45e60e298d3
Clint Capela,2017-18,623,12.428,572,0.905,5013,ff414a2b-89ef-11e6-a46a-a45e60e298d3
Bam Adebayo,2021-22,529,11.053,478,0.917,4786,61fc6b15-5ce2-4613-a67b-f15bada3aa57
Isaiah Stewart,2021-22,404,11.023,389,0.985,3665,cd722d73-c966-4c98-a6c2-2ad805d5beba
Kevon Looney,2018-19,402,9.970,378,0.963,4032,ff4170c2-89ef-11e6-83e1-a45e60e298d3
Bam Adebayo,2020-21,352,7.753,325,0.856,4540,61fc6b15-5ce2-4613-a67b-f15bada3aa57
P.J. Tucker,2019-20,255,4.213,228,0.877,6053,ff41362b-89ef-11e6-babd-a45e60e298d3
Julius Randle,2017-18,242,5.356,223,0.973,4518,ff42e1d4-89ef-11e6-9502-a45e60e298d3
Grant Williams,2021-22,240,4.731,222,0.865,5073,561048bb-c412-4d8b-a0bc-27d250a1a431
Bam Adebayo,2019-20,227,3.672,209,0.957,6182,61fc6b15-5ce2-4613-a67b-f15bada3aa57
  Nene,2017-18,223,12.699,205,0.937,1756,ff4295ee-89ef-11e6-8d6a-a45e60e298d3
Tristan Thompson,2017-18,221,7.439,209,1.076,2971,ff41f1fa-89ef-11e6-a048-a45e60e298d3
Al Horford,2021-22,215,3.843,202,0.808,5595,ff427c2e-89ef-11e6-8d2a-a45e60e298d3
Clint Capela,2019-20,211,7.726,187,1.090,2731,ff414a2b-89ef-11e6-a46a-a45e60e298d3
Christian Wood,2021-22,211,4.829,196,1.030,4369,ff4290f8-89ef-11e6-8dd1-a45e60e298d3
Richaun Holmes,2020-21,205,5.580,198,0.960,3674,ff4271de-89ef-11e6-83dc-a45e60e298d3
David West,2017-18,199,8.740,179,0.883,2277,ff42cc75-89ef-11e6-a9c8-a45e60e298d3
Draymond Green,2018-19,197,3.225,176,0.977,6109,ff41a38c-89ef-11e6-b14d-a45e60e298d3
Steven Adams,2017-18,196,3.668,184,0.908,5344,ff420623-89ef-11e6-9b37-a45e60e298d3
Tristan Thompson,2016-17,190,3.289,180,0.928,5776,ff41f1fa-89ef-11e6-a048-a45e60e298d3
Nic Claxton,2021-22,188,8.304,177,0.888,2264,f81eb8fd-e5bf-4f94-8610-1c9461771056
Nic Claxton,2020-21,187,12.687,173,0.744,1474,f81eb8fd-e5bf-4f94-8610-1c9461771056
DeAndre Jordan,2017-18,184,3.818,170,1.024,4819,ff401ff8-89ef-11e6-99ab-a45e60e298d3
Draymond Green,2017-18,178,2.852,165,0.891,6242,ff41a38c-89ef-11e6-b14d-a45e60e298d3
Kevon Looney,2017-18,177,6.766,165,0.909,2616,ff4170c2-89ef-11e6-83e1-a45e60e298d3
Bobby Portis,2021-22,175,3.663,168,1.000,4777,ff41f651-89ef-11e6-95ed-a45e60e298d3
Draymond Green,2016-17,173,2.715,160,0.931,6373,ff41a38c-89ef-11e6-b14d-a45e60e298d3
Bismack Biyombo,2020-21,171,6.200,157,0.936,2758,ff401757-89ef-11e6-994b-a45e60e298d3
Jarrett Allen,2021-22,166,4.515,154,0.922,3677,330616b8-1619-4685-93e8-26ce79ee94df
P.J. Washington,2020-21,162,4.016,150,0.827,4034,4f137dfc-e973-4510-a032-ddadc67299bc
DeAndre Jordan,2016-17,161,2.876,151,0.861,5598,ff401ff8-89ef-11e6-99ab-a45e60e298d3
Montrezl Harrell,2018-19,158,3.241,145,1.152,4875,ff42b4e8-89ef-11e6-a75d-a45e60e298d3
Jeff Green,2019-20,153,5.611,138,0.691,2727,ff4177f3-89ef-11e6-95d8-a45e60e298d3
Willie Cauley-Stein,2018-19,149,3.149,140,1.057,4731,ff402fd4-89ef-11e6-b6dd-a45e60e298d3
Kevon Looney,2021-22,148,3.335,139,0.935,4438,ff4170c2-89ef-11e6-83e1-a45e60e298d3
