,Screener Defender,Season,Picks,Picks Per 100 Possessions,Possessions,Points Per Chance,Possessions (Total)
1,Clint Capela,2017-18,157,15.392,141,0.872,1020
2,Marcus Morris Sr.,2020-21,99,8.418,92,0.837,1176
3,Bam Adebayo,2019-20,95,7.006,86,0.805,1356
4,Tristan Thompson,2017-18,72,9.207,69,1.129,782
5,Giannis Antetokounmpo,2020-21,68,4.266,64,0.938,1594
6,Kevon Looney,2018-19,66,7.366,63,0.937,896
7,Clint Capela,2018-19,57,8.689,52,0.981,656
8,Larry Nance Jr.,2017-18,54,9.215,50,0.882,586
9,  Nene,2017-18,53,23.767,48,0.938,223
10,Jeff Green,2019-20,52,7.504,45,0.733,693
11,Kevin Love,2017-18,51,4.136,50,0.900,1233
12,Brook Lopez,2020-21,50,3.734,46,0.870,1339
13,Draymond Green,2017-18,45,2.757,37,0.865,1632
14,Draymond Green,2014-15,44,2.837,42,0.976,1551
15,Blake Griffin,2020-21,44,6.984,42,1.095,630
16,P.J. Tucker,2019-20,42,5.079,39,0.744,827
17,Bobby Portis,2020-21,40,5.450,33,1.088,734
18,Tristan Thompson,2016-17,40,3.575,38,0.868,1119
19,DeAndre Jordan,2014-15,37,3.818,34,0.676,969
20,Tristan Thompson,2014-15,32,2.341,28,0.786,1367
21,Steven Adams,2017-18,31,7.673,29,0.586,404
22,Grant Williams,2019-20,31,9.118,29,0.828,340
23,Zaza Pachulia,2016-17,30,6.912,29,0.724,434
24,Al Horford,2017-18,30,2.304,28,1.036,1302
25,Tristan Thompson,2015-16,30,2.545,26,0.704,1179
26,Kevon Looney,2017-18,30,3.750,30,0.900,800
27,Ivica Zubac,2020-21,29,5.133,27,1.296,565
28,Giannis Antetokounmpo,2017-18,27,5.000,25,0.880,540
29,Nicolas Batum,2020-21,27,2.514,24,1.167,1074
30,David West,2016-17,27,6.164,25,0.800,438
31,Draymond Green,2018-19,26,1.491,25,0.760,1744
32,Steven Adams,2015-16,24,2.247,24,0.958,1068
33,P.J. Tucker,2017-18,24,2.178,23,0.696,1102
34,David West,2017-18,24,6.897,22,1.227,348
35,Draymond Green,2016-17,23,1.858,22,1.136,1238
36,Mason Plumlee,2019-20,23,5.450,21,1.000,422
37,Jeff Green,2017-18,22,2.196,22,1.136,1002
38,Carmelo Anthony,2017-18,22,5.542,21,1.000,397
39,Dwight Howard,2014-15,21,1.772,18,0.500,1185
40,Thon Maker,2017-18,21,8.714,19,0.684,241
41,Enes Freedom,2015-16,20,3.180,20,0.550,629
42,Kevin Love,2015-16,20,1.753,20,0.650,1141
43,Dwight Howard,2019-20,19,3.363,17,1.118,565
44,Nic Claxton,2020-21,19,7.393,16,1.059,257
45,Nikola Jokic,2019-20,19,1.421,17,0.765,1337
46,Serge Ibaka,2016-17,19,3.259,18,0.778,583
47,Al Horford,2014-15,18,1.784,16,0.875,1009
48,Clint Capela,2020-21,18,1.565,15,0.933,1150
49,Marc Gasol,2018-19,18,1.250,17,0.529,1440
50,Jaylen Brown,2019-20,18,1.353,16,1.000,1330
51,Ryan Anderson,2017-18,17,8.763,17,1.059,194
52,Domantas Sabonis,2018-19,17,9.290,15,0.867,183
53,Daniel Theis,2019-20,17,1.784,16,0.750,953
54,Draymond Green,2015-16,17,0.960,15,0.600,1770
55,Jarrett Allen,2019-20,17,6.204,15,1.267,274
56,Serge Ibaka,2013-14,16,1.459,15,0.733,1097
57,Tobias Harris,2018-19,16,1.768,15,1.067,905
58,Aron Baynes,2017-18,16,2.114,15,0.867,757
59,Timofey Mozgov,2014-15,16,1.619,15,1.133,988
60,Chris Andersen,2013-14,16,2.802,15,0.933,571
61,Brook Lopez,2018-19,16,1.768,15,0.733,905
62,Festus Ezeli,2015-16,16,3.810,15,1.313,420
63,Jordan Bell,2018-19,15,7.317,15,0.800,205
64,Noah Vonleh,2016-17,15,7.109,14,1.571,211
65,Anthony Davis,2019-20,15,0.973,15,1.200,1541
66,Justise Winslow,2015-16,15,2.451,14,0.714,612
67,Dirk Nowitzki,2013-14,15,3.012,14,1.143,498
68,Marcus Morris Sr.,2018-19,15,2.890,14,1.000,519
69,Dwight Howard,2015-16,14,3.966,11,0.615,353
70,DeMarcus Cousins,2018-19,14,5.283,13,1.385,265
71,JaVale McGee,2017-18,14,4.502,13,1.000,311
72,Jerami Grant,2018-19,14,3.804,14,0.929,368
73,DeAndre Jordan,2016-17,13,2.669,13,1.000,487
74,Pau Gasol,2016-17,13,1.860,13,0.923,699
75,Giannis Antetokounmpo,2018-19,13,1.218,11,1.273,1067
76,Tyson Chandler,2014-15,13,3.846,12,0.833,338
77,Channing Frye,2015-16,13,2.902,12,0.417,448
78,Marcus Morris Sr.,2017-18,13,1.196,12,1.083,1087
79,Patrick Patterson,2017-18,13,10.924,13,0.385,119
80,Ersan Ilyasova,2017-18,13,2.725,12,0.833,477
81,Ersan Ilyasova,2014-15,13,4.659,11,1.273,279
82,Tony Bradley,2019-20,13,14.444,12,0.385,90
83,Joel Embiid,2017-18,13,2.334,13,1.231,557
84,Andrew Bogut,2014-15,12,1.418,10,0.900,846
85,Harrison Barnes,2014-15,12,0.898,12,0.667,1336
86,Pascal Siakam,2019-20,12,1.437,12,0.667,835
87,Chris Bosh,2013-14,12,0.988,11,0.545,1214
88,Bismack Biyombo,2015-16,12,1.290,10,1.100,930
89,Andrew Bogut,2018-19,11,3.039,9,0.300,362
90,Terrence Jones,2014-15,11,1.314,10,1.200,837
91,Serge Ibaka,2015-16,11,0.918,11,0.818,1198
92,Clint Capela,2016-17,11,1.954,10,1.300,563
93,James Harden,2017-18,11,0.901,10,1.100,1221
94,Dario Saric,2017-18,11,1.659,11,1.273,663
95,Kevin Durant,2013-14,11,0.702,10,0.900,1568
96,P.J. Tucker,2018-19,11,1.294,11,0.727,850
97,LaMarcus Aldridge,2016-17,11,1.079,11,0.455,1019
98,Josh Smith,2014-15,11,1.324,11,1.182,831
99,Paul George,2020-21,11,0.734,11,0.545,1499
100,Harrison Barnes,2015-16,11,0.742,9,0.556,1483
101,Robert Covington,2019-20,11,1.423,11,0.727,773
102,Markieff Morris,2017-18,11,3.014,10,1.200,365
103,OG Anunoby,2019-20,11,1.392,11,0.636,790
104,Thaddeus Young,2018-19,11,4.314,11,0.273,255
105,Samuel Dalembert,2013-14,11,4.382,11,1.273,251
106,Jerami Grant,2017-18,11,4.120,10,0.200,267
107,Al Horford,2016-17,10,0.855,10,1.100,1169
108,Serge Ibaka,2018-19,10,1.011,10,0.700,989
109,Kelly Olynyk,2016-17,10,1.486,10,1.500,673
110,JaVale McGee,2016-17,10,3.145,10,1.300,318
111,Clint Capela,2014-15,10,3.690,10,0.900,271
112,Ersan Ilyasova,2018-19,10,1.773,10,0.700,564
113,  Nene,2018-19,10,9.709,10,1.000,103
114,Derrick Favors,2016-17,10,2.370,7,0.286,422
115,Tim Duncan,2013-14,10,0.701,9,1.556,1427
116,P.J. Tucker,2020-21,9,0.657,9,0.778,1369
117,David Lee,2014-15,9,4.500,9,0.222,200
118,David West,2013-14,9,0.713,9,0.889,1262
119,Deandre Ayton,2020-21,9,0.572,9,1.556,1573
120,Montrezl Harrell,2019-20,9,1.772,8,1.500,508
121,Trevor Ariza,2020-21,9,4.433,9,0.889,203
122,Myles Turner,2018-19,9,3.529,7,1.000,255
123,Jeff Green,2020-21,9,3.030,9,0.778,297
124,Blake Griffin,2014-15,9,0.798,9,0.778,1128
125,Andre Iguodala,2019-20,9,1.059,7,1.250,850
126,Brandan Wright,2013-14,9,5.202,8,0.875,173
127,Giannis Antetokounmpo,2019-20,9,1.557,8,1.000,578
128,Channing Frye,2016-17,9,2.990,9,0.889,301
129,Brook Lopez,2019-20,9,1.347,9,0.889,668
130,DeAndre Jordan,2015-16,9,2.320,9,0.778,388
131,Omer Asik,2013-14,8,2.623,8,1.000,305
132,Kevin Love,2016-17,8,0.707,8,1.125,1132
133,Gerald Green,2016-17,8,2.168,8,1.375,369
134,LeBron James,2014-15,8,0.506,8,1.625,1581
135,Pero Antic,2014-15,8,2.025,8,0.875,395
136,Myles Turner,2019-20,8,2.730,7,0.714,293
137,Serge Ibaka,2019-20,8,1.533,8,1.500,522
138,  Nene,2016-17,8,2.395,7,0.286,334
139,Kawhi Leonard,2019-20,8,0.772,8,0.750,1036
140,Clint Capela,2015-16,8,8.333,7,0.714,96
141,Kenneth Faried,2018-19,8,7.018,7,1.000,114
142,Al Horford,2015-16,8,1.223,7,0.571,654
143,Marcin Gortat,2016-17,8,0.998,8,1.375,802
144,Jordan Bell,2017-18,8,2.381,7,1.143,336
145,Marvin Williams,2019-20,8,2.105,7,0.714,380
