Screener Defender,Season,Picks,Picks Per 100 Possessions,Possessions,Points Per Chance,Possessions (Total),SSI Player ID
Clint Capela,2018-19,575,12.721,523,0.941,4520,ff414a2b-89ef-11e6-a46a-a45e60e298d3
Clint Capela,2017-18,466,11.656,431,0.920,3998,ff414a2b-89ef-11e6-a46a-a45e60e298d3
Bam Adebayo,2021-22,438,12.106,393,0.899,3618,61fc6b15-5ce2-4613-a67b-f15bada3aa57
Isaiah Stewart,2021-22,404,11.023,389,0.985,3665,cd722d73-c966-4c98-a6c2-2ad805d5beba
Bam Adebayo,2020-21,346,8.130,320,0.850,4256,61fc6b15-5ce2-4613-a67b-f15bada3aa57
Kevon Looney,2018-19,335,10.679,314,0.962,3137,ff4170c2-89ef-11e6-83e1-a45e60e298d3
Julius Randle,2017-18,242,5.356,223,0.973,4518,ff42e1d4-89ef-11e6-9502-a45e60e298d3
Grant Williams,2021-22,226,5.990,208,0.894,3773,561048bb-c412-4d8b-a0bc-27d250a1a431
P.J. Tucker,2019-20,214,4.095,190,0.900,5226,ff41362b-89ef-11e6-babd-a45e60e298d3
Clint Capela,2019-20,211,7.726,187,1.090,2731,ff414a2b-89ef-11e6-a46a-a45e60e298d3
Christian Wood,2021-22,211,4.829,196,1.030,4369,ff4290f8-89ef-11e6-8dd1-a45e60e298d3
Richaun Holmes,2020-21,205,5.580,198,0.960,3674,ff4271de-89ef-11e6-83dc-a45e60e298d3
DeAndre Jordan,2017-18,184,3.818,170,1.024,4819,ff401ff8-89ef-11e6-99ab-a45e60e298d3
Al Horford,2021-22,181,4.533,170,0.825,3993,ff427c2e-89ef-11e6-8d2a-a45e60e298d3
Nic Claxton,2021-22,176,8.765,165,0.904,2008,f81eb8fd-e5bf-4f94-8610-1c9461771056
  Nene,2017-18,173,11.278,159,0.925,1534,ff4295ee-89ef-11e6-8d6a-a45e60e298d3
Nic Claxton,2020-21,172,14.133,161,0.724,1217,f81eb8fd-e5bf-4f94-8610-1c9461771056
Bismack Biyombo,2020-21,171,6.214,157,0.936,2752,ff401757-89ef-11e6-994b-a45e60e298d3
Draymond Green,2018-19,170,3.894,150,1.027,4366,ff41a38c-89ef-11e6-b14d-a45e60e298d3
David West,2017-18,168,8.709,151,0.834,1929,ff42cc75-89ef-11e6-a9c8-a45e60e298d3
Bobby Portis,2021-22,166,3.980,159,1.025,4171,ff41f651-89ef-11e6-95ed-a45e60e298d3
Steven Adams,2017-18,164,3.320,154,0.974,4940,ff420623-89ef-11e6-9b37-a45e60e298d3
Jarrett Allen,2021-22,158,4.380,146,0.884,3607,330616b8-1619-4685-93e8-26ce79ee94df
P.J. Washington,2020-21,158,3.982,146,0.836,3968,4f137dfc-e973-4510-a032-ddadc67299bc
Montrezl Harrell,2018-19,156,3.438,143,1.154,4538,ff42b4e8-89ef-11e6-a75d-a45e60e298d3
Tristan Thompson,2016-17,153,3.285,145,0.938,4657,ff41f1fa-89ef-11e6-a048-a45e60e298d3
Tristan Thompson,2017-18,152,6.931,143,1.056,2193,ff41f1fa-89ef-11e6-a048-a45e60e298d3
DeAndre Jordan,2016-17,151,2.954,141,0.872,5111,ff401ff8-89ef-11e6-99ab-a45e60e298d3
Willie Cauley-Stein,2018-19,149,3.149,140,1.057,4731,ff402fd4-89ef-11e6-b6dd-a45e60e298d3
Bam Adebayo,2019-20,138,2.860,128,1.055,4826,61fc6b15-5ce2-4613-a67b-f15bada3aa57
Draymond Green,2016-17,138,2.686,128,0.875,5137,ff41a38c-89ef-11e6-b14d-a45e60e298d3
P.J. Washington,2021-22,136,3.732,129,0.954,3644,4f137dfc-e973-4510-a032-ddadc67299bc
Trendon Watford,2021-22,136,7.522,128,1.117,1808,82c1e01e-c214-400e-9758-f66b4e21ef65
Drew Eubanks,2021-22,133,5.218,123,0.854,2549,e89c6a2b-0008-4b5b-8298-527871bafc2f
DeAndre Jordan,2020-21,133,5.169,125,1.094,2573,ff401ff8-89ef-11e6-99ab-a45e60e298d3
Mitchell Robinson,2018-19,132,4.758,125,1.136,2774,1df5e769-640e-4589-b879-cd4e2885eaf1
Dwight Powell,2018-19,131,3.870,120,0.950,3385,ff41d302-89ef-11e6-b0a0-a45e60e298d3
Ryan Anderson,2017-18,130,3.816,117,1.068,3407,ff418d17-89ef-11e6-95e4-a45e60e298d3
Steven Adams,2018-19,122,2.152,116,0.879,5670,ff420623-89ef-11e6-9b37-a45e60e298d3
Tarik Black,2017-18,122,11.255,113,0.805,1084,ff414c70-89ef-11e6-80db-a45e60e298d3
Kevon Looney,2021-22,121,3.415,113,1.062,3543,ff4170c2-89ef-11e6-83e1-a45e60e298d3
Jeff Green,2020-21,121,3.168,109,1.109,3820,ff4177f3-89ef-11e6-95d8-a45e60e298d3
Damian Jones,2021-22,118,5.712,108,0.926,2066,ff42a38f-89ef-11e6-bb34-a45e60e298d3
Cody Zeller,2020-21,116,5.650,107,0.944,2053,ff42a38f-89ef-11e6-bb6d-a45e60e298d3
Draymond Green,2017-18,116,2.516,110,0.891,4611,ff41a38c-89ef-11e6-b14d-a45e60e298d3
Alperen Sengun,2021-22,114,3.716,103,0.835,3068,921d0103-6fc4-4e96-b01d-11d4765dcf10
Marvin Bagley III,2021-22,113,4.890,102,0.846,2311,4741eab0-ea4a-4b05-be5b-1739cb2610bd
Christian Wood,2020-21,111,4.004,104,1.029,2772,ff4290f8-89ef-11e6-8dd1-a45e60e298d3
Montrezl Harrell,2021-22,111,3.352,102,1.010,3311,ff42b4e8-89ef-11e6-a75d-a45e60e298d3
Montrezl Harrell,2017-18,111,4.176,97,0.722,2658,ff42b4e8-89ef-11e6-a75d-a45e60e298d3
Kevon Looney,2017-18,108,5.944,100,0.900,1817,ff4170c2-89ef-11e6-83e1-a45e60e298d3
Draymond Green,2015-16,107,1.827,102,0.824,5857,ff41a38c-89ef-11e6-b14d-a45e60e298d3
Montrezl Harrell,2019-20,105,2.825,93,1.000,3717,ff42b4e8-89ef-11e6-a75d-a45e60e298d3
Kevon Looney,2020-21,105,4.341,100,0.772,2419,ff4170c2-89ef-11e6-83e1-a45e60e298d3
Giannis Antetokounmpo,2021-22,104,2.256,94,0.884,4610,ff423b75-89ef-11e6-a507-a45e60e298d3
Precious Achiuwa,2021-22,103,3.023,98,0.827,3407,acdc968b-e5a7-4251-9fb6-d54204d6fdd2
Blake Griffin,2020-21,103,4.344,99,0.929,2371,ff41ff8a-89ef-11e6-95d3-a45e60e298d3
Mason Plumlee,2021-22,103,2.768,99,0.939,3721,ff42c76e-89ef-11e6-a19d-a45e60e298d3
Joel Embiid,2018-19,102,2.280,94,0.979,4473,ff42281e-89ef-11e6-8097-a45e60e298d3
Marquese Chriss,2019-20,102,4.095,95,0.947,2491,9508237c-85e2-4121-b4da-f11687f79fdf
Jeff Green,2019-20,101,4.966,93,0.660,2034,ff4177f3-89ef-11e6-95d8-a45e60e298d3
Robert Williams III,2021-22,101,2.803,94,0.915,3603,79b83f96-5723-4219-b521-57de6111ee97
Nerlens Noel,2018-19,100,4.581,91,0.901,2183,ff41260a-89ef-11e6-a369-a45e60e298d3
DeAndre Jordan,2018-19,100,2.384,93,1.011,4194,ff401ff8-89ef-11e6-99ab-a45e60e298d3
Isaiah Stewart,2020-21,98,3.319,90,0.922,2953,cd722d73-c966-4c98-a6c2-2ad805d5beba
Al Horford,2018-19,96,2.373,92,1.130,4046,ff427c2e-89ef-11e6-8d2a-a45e60e298d3
  Nene,2016-17,96,3.799,91,0.725,2527,ff4295ee-89ef-11e6-8d6a-a45e60e298d3
Mitchell Robinson,2019-20,96,3.301,87,1.057,2908,1df5e769-640e-4589-b879-cd4e2885eaf1
Montrezl Harrell,2016-17,95,4.356,88,1.091,2181,ff42b4e8-89ef-11e6-a75d-a45e60e298d3
Clint Capela,2016-17,95,2.991,88,1.225,3176,ff414a2b-89ef-11e6-a46a-a45e60e298d3
Dwight Powell,2017-18,95,2.936,88,1.000,3236,ff41d302-89ef-11e6-b0a0-a45e60e298d3
Brook Lopez,2017-18,94,2.612,88,0.943,3599,ff423f0c-89ef-11e6-99c1-a45e60e298d3
Bobby Portis,2018-19,94,3.571,89,1.202,2632,ff41f651-89ef-11e6-95ed-a45e60e298d3
Steven Adams,2016-17,94,1.944,88,0.807,4836,ff420623-89ef-11e6-9b37-a45e60e298d3
Zaza Pachulia,2016-17,94,3.567,84,0.774,2635,ff403f19-89ef-11e6-8e8d-a45e60e298d3
Mason Plumlee,2018-19,93,2.669,87,0.885,3484,ff42c76e-89ef-11e6-a19d-a45e60e298d3
Patrick Patterson,2017-18,93,3.908,87,0.920,2380,ff4174a1-89ef-11e6-a875-a45e60e298d3
Wendell Carter Jr.,2018-19,92,4.170,86,0.849,2206,d0c66dcc-5165-458c-a443-ebe8ee6da4b3
Andre Drummond,2018-19,92,1.728,85,1.188,5324,ff415268-89ef-11e6-a137-a45e60e298d3
Zaza Pachulia,2017-18,91,4.652,84,1.048,1956,ff403f19-89ef-11e6-8e8d-a45e60e298d3
DeAndre Jordan,2015-16,91,1.762,87,0.874,5165,ff401ff8-89ef-11e6-99ab-a45e60e298d3
JaVale McGee,2018-19,91,2.550,87,0.874,3569,ff41d4eb-89ef-11e6-8055-a45e60e298d3
Kenneth Faried,2018-19,90,5.988,83,0.892,1503,ff413559-89ef-11e6-9991-a45e60e298d3
Jaren Jackson Jr.,2021-22,90,2.049,87,0.966,4392,9b2369c7-8445-48db-9fb5-99c10ec4b942
P.J. Tucker,2017-18,89,1.970,84,0.881,4518,ff41362b-89ef-11e6-babd-a45e60e298d3
Cody Zeller,2018-19,89,3.481,82,1.244,2557,ff42a38f-89ef-11e6-bb6d-a45e60e298d3
  Nene,2018-19,88,7.935,78,0.859,1109,ff4295ee-89ef-11e6-8d6a-a45e60e298d3
Kelly Olynyk,2020-21,87,2.110,84,0.964,4123,ff426326-89ef-11e6-a607-a45e60e298d3
Noah Vonleh,2018-19,87,2.484,75,0.973,3503,ff41224a-89ef-11e6-98eb-a45e60e298d3
Kevin Love,2017-18,87,2.631,85,1.200,3307,ff42aecf-89ef-11e6-8cb8-a45e60e298d3
