Defensive Team,Season,Shots Attempted,Shots Attempted Per 100 Possessions,eFG%,qSQ,qSM,% Mid-Range
Portland Trail Blazers,2017-18,7042,89.856,50.29,48.87,-0.23,22.778
Brooklyn Nets,2017-18,7143,90.670,51.78,49.63,0.42,23.730
Portland Trail Blazers,2018-19,7384,90.468,51.60,49.64,0.40,20.016
Milwaukee Bucks,2018-19,7669,90.908,50.31,49.70,-0.46,17.369
Philadelphia 76ers,2017-18,7096,88.062,49.11,49.72,-2.16,21.815
Toronto Raptors,2017-18,7009,88.241,50.06,49.82,-1.12,20.459
Utah Jazz,2018-19,7180,88.653,50.69,49.85,-0.46,18.733
Milwaukee Bucks,2019-20,6776,89.677,48.91,49.89,-1.73,16.795
Utah Jazz,2017-18,6803,87.051,50.63,50.18,-1.12,22.505
Miami Heat,2017-18,6793,87.527,50.74,50.27,-1.18,19.594
Boston Celtics,2017-18,6735,89.217,49.35,50.27,-2.51,20.950
San Antonio Spurs,2018-19,7355,90.960,52.83,50.36,1.24,18.273
Utah Jazz,2020-21,6580,92.611,50.68,50.38,-1.17,17.325
Utah Jazz,2019-20,6417,90.508,51.82,50.41,0.12,18.015
LA Clippers,2020-21,6223,89.643,53.09,50.42,1.02,15.459
Indiana Pacers,2017-18,6952,88.923,52.72,50.43,0.75,19.059
San Antonio Spurs,2017-18,6909,89.275,50.73,50.46,-1.18,21.696
Dallas Mavericks,2020-21,6269,89.904,53.40,50.51,1.12,14.803
Washington Wizards,2020-21,6593,87.930,53.84,50.62,1.45,15.926
Dallas Mavericks,2017-18,6870,88.077,53.22,50.64,0.99,22.373
Milwaukee Bucks,2020-21,6688,91.229,53.62,50.65,1.37,16.148
Brooklyn Nets,2018-19,7581,90.801,51.23,50.66,-0.78,19.338
Phoenix Suns,2017-18,7274,89.526,53.25,50.66,1.08,20.360
Golden State Warriors,2018-19,7471,90.110,50.76,50.67,-1.02,16.490
Charlotte Hornets,2017-18,7183,89.922,53.26,50.69,1.06,22.247
Golden State Warriors,2017-18,7372,90.822,50.43,50.70,-1.53,19.357
LA Clippers,2019-20,6494,88.862,50.65,50.74,-1.32,16.769
Phoenix Suns,2020-21,6248,88.763,53.36,50.75,1.02,15.861
Brooklyn Nets,2019-20,6687,91.352,51.14,50.77,-0.44,17.900
Boston Celtics,2021-22,7221,90.659,50.15,50.87,-2.20,16.203
Chicago Bulls,2020-21,6313,88.753,53.82,50.88,1.15,15.666
Washington Wizards,2021-22,7286,91.303,52.90,50.91,0.25,16.511
Philadelphia 76ers,2018-19,7412,89.647,51.07,50.95,-1.10,17.080
Indiana Pacers,2019-20,6459,89.472,51.11,50.95,-0.92,12.959
Orlando Magic,2018-19,7022,89.566,51.70,50.97,-0.58,16.420
LA Clippers,2018-19,7490,89.529,51.37,51.02,-0.95,17.744
Phoenix Suns,2021-22,7243,89.035,50.98,51.04,-1.57,16.250
Atlanta Hawks,2017-18,7021,89.656,53.57,51.06,1.04,20.097
Miami Heat,2018-19,7115,88.982,50.97,51.07,-1.58,16.571
Toronto Raptors,2018-19,7352,89.560,50.91,51.10,-1.21,16.717
Utah Jazz,2021-22,7318,92.306,52.08,51.11,-0.45,16.425
Philadelphia 76ers,2020-21,6259,87.270,52.14,51.18,-0.26,15.641
Detroit Pistons,2017-18,6987,89.018,52.38,51.19,-0.26,19.178
Miami Heat,2021-22,6885,87.506,52.43,51.22,-0.33,13.290
Golden State Warriors,2021-22,7098,88.526,50.87,51.23,-1.91,13.638
Dallas Mavericks,2021-22,7001,90.022,52.07,51.24,-0.75,15.698
Denver Nuggets,2017-18,7110,89.502,53.90,51.24,1.14,19.859
Los Angeles Lakers,2017-18,7363,89.694,51.43,51.25,-1.36,18.729
New York Knicks,2017-18,6991,89.273,52.17,51.25,-0.55,19.339
Milwaukee Bucks,2017-18,6777,87.052,52.83,51.26,0.09,18.519
San Antonio Spurs,2021-22,7474,91.157,53.21,51.26,0.47,14.490
Boston Celtics,2020-21,6191,87.604,53.91,51.29,0.78,14.780
Indiana Pacers,2018-19,7058,88.446,51.62,51.31,-0.97,15.684
Memphis Grizzlies,2019-20,6592,88.105,52.11,51.31,-0.45,15.458
Philadelphia 76ers,2019-20,6273,87.307,52.32,51.33,-0.20,17.312
Golden State Warriors,2020-21,6408,87.673,52.16,51.36,-0.93,14.466
Philadelphia 76ers,2021-22,7097,90.006,52.40,51.37,-0.58,16.415
Brooklyn Nets,2020-21,6572,91.519,53.13,51.37,0.27,15.399
Memphis Grizzlies,2020-21,6385,88.410,53.48,51.38,0.68,14.471
San Antonio Spurs,2020-21,6468,90.310,54.07,51.38,1.02,14.456
Boston Celtics,2018-19,7222,88.278,51.38,51.38,-1.32,15.744
New Orleans Pelicans,2021-22,7009,88.053,54.69,51.40,1.62,15.323
Boston Celtics,2019-20,6268,87.359,50.89,51.41,-1.73,14.247
Sacramento Kings,2017-18,6760,87.406,54.23,51.42,1.38,17.456
Los Angeles Lakers,2020-21,6221,87.632,52.58,51.44,-0.58,15.190
New Orleans Pelicans,2017-18,7534,91.133,51.31,51.47,-1.80,21.118
Miami Heat,2020-21,6137,88.417,54.24,51.47,1.07,12.922
Orlando Magic,2019-20,6343,88.491,53.53,51.48,0.79,14.283
Portland Trail Blazers,2019-20,6731,91.231,53.00,51.48,0.29,14.812
LA Clippers,2021-22,7431,92.667,51.43,51.50,-1.64,14.036
Houston Rockets,2017-18,7016,88.642,52.13,51.55,-0.90,18.230
Los Angeles Lakers,2019-20,6188,86.996,51.52,51.55,-1.38,15.595
Atlanta Hawks,2021-22,7294,91.141,54.30,51.58,1.19,15.629
Atlanta Hawks,2020-21,6418,90.701,52.98,51.59,-0.27,14.818
Chicago Bulls,2017-18,7108,88.728,54.22,51.59,1.13,18.880
San Antonio Spurs,2019-20,6298,89.270,54.30,51.60,1.36,14.735
Sacramento Kings,2019-20,6158,86.114,54.32,51.60,1.55,14.079
Memphis Grizzlies,2018-19,6836,86.183,52.06,51.60,-1.07,16.077
