Defensive Team,Season,Picks,Picks Per 100 Possessions,Direct Picks,Points Per Chance,Points Per Direct
Brooklyn Nets,2022-23,2485,31.822,1506,0.956,0.999
Houston Rockets,2017-18,2466,31.547,1453,0.925,0.975
Boston Celtics,2022-23,2366,29.750,1464,0.953,0.987
Boston Celtics,2021-22,2318,29.102,1447,0.872,0.918
Miami Heat,2021-22,2280,28.978,1237,0.926,0.965
Detroit Pistons,2021-22,2278,28.333,1389,0.957,0.990
Houston Rockets,2018-19,2275,28.370,1347,0.929,0.946
Houston Rockets,2019-20,2011,27.062,1154,0.948,0.946
Golden State Warriors,2018-19,1962,23.664,1126,0.949,0.948
Miami Heat,2022-23,1912,25.204,1024,0.991,1.046
Brooklyn Nets,2020-21,1874,26.097,1079,0.947,0.952
Charlotte Hornets,2021-22,1861,22.681,1062,0.934,0.966
Golden State Warriors,2017-18,1858,23.504,1094,0.906,0.931
Detroit Pistons,2022-23,1838,23.213,1093,0.979,0.984
Portland Trail Blazers,2022-23,1759,22.708,1008,0.989,1.016
Charlotte Hornets,2020-21,1751,24.791,947,0.922,0.961
Portland Trail Blazers,2021-22,1750,21.845,932,0.999,1.002
LA Clippers,2021-22,1741,21.711,1011,0.897,0.922
Houston Rockets,2021-22,1700,20.714,1052,0.956,1.014
Brooklyn Nets,2021-22,1688,20.868,1056,0.890,0.971
Indiana Pacers,2022-23,1668,20.757,971,1.054,1.091
LA Clippers,2022-23,1665,21.216,975,0.961,0.986
Golden State Warriors,2022-23,1585,19.438,939,1.045,1.104
Indiana Pacers,2021-22,1575,19.597,973,0.996,1.009
Los Angeles Lakers,2021-22,1574,19.056,966,0.949,0.988
Washington Wizards,2021-22,1527,19.135,923,0.971,0.973
Miami Heat,2020-21,1526,21.985,772,0.940,1.007
Dallas Mavericks,2022-23,1516,19.554,902,0.950,0.973
New Orleans Pelicans,2022-23,1504,18.940,925,0.951,1.005
Denver Nuggets,2022-23,1500,19.405,921,0.981,1.008
Los Angeles Lakers,2017-18,1476,17.980,862,0.921,0.934
Utah Jazz,2022-23,1475,18.600,916,0.990,1.031
Phoenix Suns,2021-22,1425,17.517,825,0.893,0.879
Houston Rockets,2020-21,1410,19.486,842,1.019,1.063
San Antonio Spurs,2021-22,1409,17.185,814,0.943,0.972
Boston Celtics,2020-21,1407,19.909,810,0.938,0.914
Golden State Warriors,2021-22,1396,17.411,777,0.935,0.999
Cleveland Cavaliers,2017-18,1385,17.319,789,1.028,0.991
Orlando Magic,2022-23,1362,17.448,768,0.981,1.026
Oklahoma City Thunder,2017-18,1361,17.655,745,0.932,0.938
LA Clippers,2017-18,1358,17.093,791,0.943,0.939
Phoenix Suns,2022-23,1349,17.451,795,0.964,0.997
Chicago Bulls,2022-23,1346,16.961,801,0.929,0.934
Charlotte Hornets,2018-19,1345,16.634,754,0.984,1.048
Oklahoma City Thunder,2022-23,1331,16.402,726,0.931,0.962
Sacramento Kings,2020-21,1330,18.524,852,1.017,1.037
Washington Wizards,2022-23,1328,16.934,811,1.022,1.040
Philadelphia 76ers,2022-23,1323,17.310,754,0.938,0.981
Sacramento Kings,2021-22,1318,16.230,824,1.011,1.018
LA Clippers,2020-21,1300,18.727,752,0.988,1.004
Boston Celtics,2018-19,1298,15.866,763,0.929,0.956
Boston Celtics,2019-20,1298,18.091,768,0.841,0.840
Golden State Warriors,2020-21,1295,17.718,737,0.914,0.979
Los Angeles Lakers,2018-19,1293,15.367,802,0.903,0.912
Sacramento Kings,2022-23,1250,15.541,766,1.074,1.111
Phoenix Suns,2020-21,1243,17.659,754,0.998,1.014
Philadelphia 76ers,2018-19,1241,15.010,756,0.958,0.977
Milwaukee Bucks,2021-22,1229,15.030,747,0.948,0.967
Toronto Raptors,2021-22,1212,15.353,695,0.893,0.885
Denver Nuggets,2021-22,1210,15.091,710,0.962,0.976
Atlanta Hawks,2022-23,1208,14.945,765,0.940,0.992
Oklahoma City Thunder,2018-19,1200,14.356,733,0.894,0.894
San Antonio Spurs,2022-23,1200,14.978,754,1.042,1.076
Minnesota Timberwolves,2021-22,1174,14.220,652,0.930,0.969
Orlando Magic,2021-22,1155,14.240,712,0.950,0.974
Dallas Mavericks,2021-22,1140,14.659,691,0.945,0.951
Washington Wizards,2018-19,1139,13.778,677,0.977,0.975
Utah Jazz,2021-22,1139,14.367,720,0.956,1.016
New Orleans Pelicans,2021-22,1138,14.296,676,0.968,0.969
Philadelphia 76ers,2017-18,1131,14.201,684,0.902,0.947
LA Clippers,2019-20,1122,15.353,687,0.943,0.995
Washington Wizards,2020-21,1112,14.831,737,0.993,1.014
Portland Trail Blazers,2020-21,1093,15.504,664,1.007,1.040
New York Knicks,2018-19,1080,13.441,616,1.010,1.010
Golden State Warriors,2019-20,1076,16.511,637,0.951,1.012
LA Clippers,2018-19,1076,13.025,704,0.997,1.025
Memphis Grizzlies,2021-22,1069,13.059,594,0.934,0.915
Houston Rockets,2022-23,1067,13.522,650,0.978,1.006
Dallas Mavericks,2018-19,1065,13.173,669,0.909,0.920
Memphis Grizzlies,2022-23,1056,13.134,621,0.953,0.953
Minnesota Timberwolves,2022-23,1053,13.060,646,0.963,1.024
Detroit Pistons,2020-21,1048,14.893,626,0.976,0.982
Milwaukee Bucks,2020-21,1037,14.145,627,0.968,1.008
New York Knicks,2019-20,1035,15.913,640,0.998,1.049
Denver Nuggets,2018-19,1026,12.886,668,0.922,0.978
Denver Nuggets,2017-18,1012,12.898,634,0.995,1.010
Chicago Bulls,2018-19,1005,12.545,595,0.947,0.963
Toronto Raptors,2022-23,1001,12.890,592,0.993,1.012
Denver Nuggets,2019-20,999,13.994,622,0.946,0.978
Dallas Mavericks,2020-21,993,14.241,649,0.948,0.950
Milwaukee Bucks,2017-18,986,12.830,555,0.898,0.960
Dallas Mavericks,2019-20,971,13.161,585,0.957,0.998
Oklahoma City Thunder,2021-22,968,11.967,566,0.966,0.987
Philadelphia 76ers,2021-22,966,12.251,612,0.924,0.950
Washington Wizards,2017-18,956,12.068,576,0.870,0.899
Milwaukee Bucks,2022-23,935,11.596,628,1.002,1.073
Atlanta Hawks,2020-21,929,13.129,588,1.008,1.033
New Orleans Pelicans,2017-18,925,11.321,571,1.015,1.016
Boston Celtics,2017-18,924,12.388,567,0.881,0.929
Charlotte Hornets,2019-20,922,15.014,540,0.994,1.083
Dallas Mavericks,2017-18,922,11.980,552,0.953,0.927
Toronto Raptors,2017-18,917,11.545,536,0.994,1.123
Phoenix Suns,2018-19,916,11.083,560,0.893,0.912
Atlanta Hawks,2018-19,915,10.728,571,0.946,0.969
Atlanta Hawks,2021-22,913,11.408,568,0.974,0.973
New Orleans Pelicans,2018-19,908,10.762,567,0.960,0.987
Phoenix Suns,2019-20,892,12.293,581,0.949,0.973
Los Angeles Lakers,2019-20,891,12.526,549,0.901,0.951
Toronto Raptors,2018-19,882,10.744,511,0.938,1.002
Denver Nuggets,2020-21,881,12.557,537,0.977,0.988
Toronto Raptors,2019-20,871,12.025,468,0.894,0.942
Minnesota Timberwolves,2020-21,870,11.924,528,0.972,1.008
Minnesota Timberwolves,2019-20,870,13.079,547,1.005,1.027
Cleveland Cavaliers,2022-23,859,11.195,520,0.966,0.992
San Antonio Spurs,2020-21,854,11.924,553,0.905,0.949
Toronto Raptors,2020-21,854,12.062,464,0.975,0.967
Atlanta Hawks,2019-20,816,11.797,505,1.013,1.004
Chicago Bulls,2021-22,813,10.126,507,0.970,0.982
Sacramento Kings,2018-19,808,9.580,532,0.964,1.027
San Antonio Spurs,2017-18,803,10.376,485,0.897,0.915
Cleveland Cavaliers,2021-22,799,10.156,481,0.973,0.974
Chicago Bulls,2017-18,799,9.974,472,1.007,1.037
Miami Heat,2019-20,791,11.041,442,0.884,0.877
Orlando Magic,2017-18,789,9.911,466,0.990,1.044
Portland Trail Blazers,2018-19,786,9.630,506,0.901,0.929
Charlotte Hornets,2022-23,786,9.717,495,1.033,1.067
Sacramento Kings,2019-20,783,10.950,480,1.031,0.991
Washington Wizards,2019-20,782,10.622,483,1.001,1.039
Portland Trail Blazers,2019-20,780,10.572,506,0.993,1.004
San Antonio Spurs,2018-19,769,9.510,462,0.912,1.007
