Screener Defender,Season,Picks,Picks Per 100 Possessions,Possessions,Points Per Chance,Possessions (Total),SSI Player ID
Steven Adams,2018-19,2797,46.586,2279,0.970,6004,ff420623-89ef-11e6-9b37-a45e60e298d3
Marc Gasol,2018-19,2525,40.271,2091,0.888,6270,ff420730-89ef-11e6-bafd-a45e60e298d3
Nikola Jokic,2019-20,2417,40.567,2042,0.993,5958,ff41306e-89ef-11e6-8903-a45e60e298d3
Nikola Jokic,2018-19,2393,39.397,2013,0.954,6074,ff41306e-89ef-11e6-8903-a45e60e298d3
Marcin Gortat,2016-17,2285,38.578,1873,0.946,5923,ff4206b0-89ef-11e6-a91d-a45e60e298d3
Andre Drummond,2015-16,2178,39.745,1818,0.918,5480,ff415268-89ef-11e6-a137-a45e60e298d3
Brook Lopez,2018-19,2163,36.936,1859,0.896,5856,ff423f0c-89ef-11e6-99c1-a45e60e298d3
Jonas Valanciunas,2021-22,2161,44.192,1746,0.991,4890,ff429666-89ef-11e6-a005-a45e60e298d3
DeAndre Jordan,2014-15,2115,32.649,1795,0.871,6478,ff401ff8-89ef-11e6-99ab-a45e60e298d3
LaMarcus Aldridge,2018-19,2083,35.329,1745,0.932,5896,ff4291dc-89ef-11e6-8416-a45e60e298d3
Andre Drummond,2018-19,2072,37.086,1744,0.963,5587,ff415268-89ef-11e6-a137-a45e60e298d3
Rudy Gobert,2016-17,2068,36.745,1734,0.888,5628,ff42a142-89ef-11e6-8c3b-a45e60e298d3
DeAndre Jordan,2013-14,2051,31.892,1691,0.835,6431,ff401ff8-89ef-11e6-99ab-a45e60e298d3
Joel Embiid,2021-22,2045,38.724,1687,0.942,5281,ff42281e-89ef-11e6-8097-a45e60e298d3
Nikola Jokic,2020-21,2036,35.870,1730,0.984,5676,ff41306e-89ef-11e6-8903-a45e60e298d3
Steven Adams,2017-18,2029,37.968,1662,0.896,5344,ff420623-89ef-11e6-9b37-a45e60e298d3
Karl-Anthony Towns,2017-18,2025,33.421,1715,0.961,6059,ff417a73-89ef-11e6-a33e-a45e60e298d3
DeAndre Jordan,2015-16,2012,36.233,1703,0.843,5553,ff401ff8-89ef-11e6-99ab-a45e60e298d3
Nikola Vucevic,2018-19,1995,38.036,1692,1.005,5245,ff4220dc-89ef-11e6-83c6-a45e60e298d3
