Screener Defender,Season,Picks,Picks Per 100 Possessions,Possessions,Points Per Chance,Possessions (Total),SSI Player ID
Nikola Jokic,2019-20,566,42.302,468,1.068,1338,ff41306e-89ef-11e6-8903-a45e60e298d3
Tim Duncan,2013-14,484,33.965,414,0.891,1425,ff42a05c-89ef-11e6-a675-a45e60e298d3
Nikola Jokic,2018-19,462,43.544,389,0.962,1061,ff41306e-89ef-11e6-8903-a45e60e298d3
Marc Gasol,2018-19,435,30.208,370,0.895,1440,ff420730-89ef-11e6-bafd-a45e60e298d3
DeAndre Jordan,2014-15,428,44.169,350,0.871,969,ff401ff8-89ef-11e6-99ab-a45e60e298d3
Brook Lopez,2020-21,390,29.148,340,0.965,1338,ff423f0c-89ef-11e6-99c1-a45e60e298d3
Deandre Ayton,2020-21,366,23.282,314,0.925,1572,cc834b28-2371-40e2-a29e-68e58259ed63
Hassan Whiteside,2015-16,365,67.219,292,0.863,543,ff425d2b-89ef-11e6-8e2c-a45e60e298d3
Joel Embiid,2020-21,358,48.248,305,0.909,742,ff42281e-89ef-11e6-8097-a45e60e298d3
Ivica Zubac,2020-21,349,61.879,292,1.078,564,4364572d-1c61-49fe-a083-495a2ebe45d5
Dwight Howard,2014-15,349,29.576,309,0.862,1180,ff418bd7-89ef-11e6-9e3d-a45e60e298d3
Kevon Looney,2018-19,340,37.989,291,0.932,895,ff4170c2-89ef-11e6-83e1-a45e60e298d3
Al Horford,2014-15,333,33.003,282,0.915,1009,ff427c2e-89ef-11e6-8d2a-a45e60e298d3
Nikola Jokic,2020-21,330,47.826,281,1.141,690,ff41306e-89ef-11e6-8903-a45e60e298d3
Kevin Love,2017-18,328,26.710,280,1.004,1228,ff42aecf-89ef-11e6-8cb8-a45e60e298d3
Jonas Valanciunas,2021-22,328,71.616,248,1.084,458,ff429666-89ef-11e6-a005-a45e60e298d3
Serge Ibaka,2013-14,321,29.262,259,0.816,1097,ff41e09c-89ef-11e6-a26f-a45e60e298d3
Rudy Gobert,2017-18,316,41.199,260,0.944,767,ff42a142-89ef-11e6-8c3b-a45e60e298d3
Brook Lopez,2019-20,314,47.076,264,1.015,667,ff423f0c-89ef-11e6-99c1-a45e60e298d3
Maxi Kleber,2021-22,300,34.562,253,0.988,868,d6b3074b-83cc-4284-a649-8c9459d88626
Timofey Mozgov,2014-15,299,30.325,260,0.833,986,ff41d8a1-89ef-11e6-a2c8-a45e60e298d3
Brook Lopez,2018-19,291,32.155,257,0.851,905,ff423f0c-89ef-11e6-99c1-a45e60e298d3
Enes Freedom,2018-19,288,31.441,262,0.970,916,ff41d597-89ef-11e6-99f9-a45e60e298d3
Steven Adams,2015-16,285,26.710,242,0.988,1067,ff420623-89ef-11e6-9b37-a45e60e298d3
Kendrick Perkins,2013-14,284,38.482,228,0.983,738,ff427f26-89ef-11e6-949e-a45e60e298d3
Steven Adams,2013-14,282,44.833,235,0.967,629,ff420623-89ef-11e6-9b37-a45e60e298d3
Jonas Valanciunas,2020-21,279,59.871,244,1.012,466,ff429666-89ef-11e6-a005-a45e60e298d3
Clint Capela,2017-18,277,27.291,244,0.927,1015,ff414a2b-89ef-11e6-a46a-a45e60e298d3
Brook Lopez,2021-22,276,40.529,230,0.884,681,ff423f0c-89ef-11e6-99c1-a45e60e298d3
Jonas Valanciunas,2015-16,274,46.128,224,0.904,594,ff429666-89ef-11e6-a005-a45e60e298d3
Robin Lopez,2013-14,273,38.614,231,0.842,707,ff425eb3-89ef-11e6-9fb5-a45e60e298d3
Roy Hibbert,2013-14,271,27.681,231,0.940,979,ff41b07a-89ef-11e6-826c-a45e60e298d3
Marcin Gortat,2016-17,271,33.791,229,0.803,802,ff4206b0-89ef-11e6-a91d-a45e60e298d3
Kelly Olynyk,2016-17,265,39.376,218,1.132,673,ff426326-89ef-11e6-a607-a45e60e298d3
Draymond Green,2014-15,265,17.108,213,0.898,1549,ff41a38c-89ef-11e6-b14d-a45e60e298d3
Daniel Theis,2019-20,263,27.597,224,1.027,953,64c01255-432f-4e9b-a475-6f8c38e8e882
DeAndre Jordan,2016-17,262,53.799,205,0.852,487,ff401ff8-89ef-11e6-99ab-a45e60e298d3
Marcus Morris Sr.,2020-21,258,21.939,226,0.983,1176,ff429d26-89ef-11e6-a6f3-a45e60e298d3
Deandre Ayton,2021-22,254,33.642,216,0.963,755,cc834b28-2371-40e2-a29e-68e58259ed63
Bismack Biyombo,2015-16,253,27.234,205,0.818,929,ff401757-89ef-11e6-994b-a45e60e298d3
Marcin Gortat,2014-15,246,40.594,203,0.820,606,ff4206b0-89ef-11e6-a91d-a45e60e298d3
Chris Bosh,2013-14,243,20.066,205,0.869,1211,ff41dff8-89ef-11e6-a60d-a45e60e298d3
Dwight Powell,2021-22,243,50.943,196,0.975,477,ff41d302-89ef-11e6-b0a0-a45e60e298d3
Tristan Thompson,2015-16,241,20.441,211,0.897,1179,ff41f1fa-89ef-11e6-a048-a45e60e298d3
Andrew Bogut,2014-15,239,28.284,195,0.975,845,ff421e2b-89ef-11e6-a705-a45e60e298d3
Andrew Bogut,2015-16,236,32.642,206,0.831,723,ff421e2b-89ef-11e6-a705-a45e60e298d3
Bam Adebayo,2019-20,234,17.257,205,0.903,1356,61fc6b15-5ce2-4613-a67b-f15bada3aa57
David West,2013-14,226,17.908,187,0.677,1262,ff42cc75-89ef-11e6-a9c8-a45e60e298d3
