,Screener Defender,Season,Picks,Picks Per 100 Possessions,Possessions,Points Per Chance,Possessions (Total)
1,Steven Adams,2018-19,2536,44.909,2070,0.956,5647
2,Andre Drummond,2018-19,2012,37.777,1693,0.956,5326
3,Marc Gasol,2018-19,1990,41.209,1642,0.877,4829
4,LaMarcus Aldridge,2018-19,1934,35.656,1630,0.936,5424
5,Andre Drummond,2015-16,1919,36.573,1621,0.924,5247
6,Nikola Vucevic,2018-19,1880,37.919,1598,0.994,4958
7,Marcin Gortat,2016-17,1878,36.644,1556,0.963,5125
8,Nikola Jokic,2018-19,1865,37.226,1573,0.961,5010
9,Nikola Jokic,2020-21,1860,37.289,1582,0.942,4988
10,Nikola Jokic,2019-20,1850,40.035,1568,0.968,4621
11,Brook Lopez,2018-19,1813,36.641,1558,0.907,4948
12,Rudy Gobert,2018-19,1788,33.986,1515,0.858,5261
13,Andre Drummond,2017-18,1774,33.907,1501,0.953,5232
14,Dwight Howard,2017-18,1771,35.406,1505,0.934,5002
15,Nikola Vucevic,2020-21,1767,37.091,1526,0.996,4764
16,Deandre Ayton,2020-21,1764,41.692,1499,0.963,4231
17,Rudy Gobert,2016-17,1744,33.877,1490,0.874,5148
18,Myles Turner,2018-19,1744,40.795,1468,0.937,4275
19,Rudy Gobert,2019-20,1730,36.406,1467,0.839,4752
20,Myles Turner,2016-17,1727,34.416,1493,0.883,5018
21,Karl-Anthony Towns,2017-18,1721,29.983,1476,0.967,5740
22,Marc Gasol,2016-17,1721,35.624,1429,0.901,4831
23,Hassan Whiteside,2016-17,1720,35.052,1464,0.910,4907
24,Andre Drummond,2016-17,1717,36.516,1447,0.965,4702
25,Willie Cauley-Stein,2018-19,1716,36.287,1418,0.931,4729
26,Marc Gasol,2017-18,1692,36.146,1395,0.951,4681
27,Joel Embiid,2018-19,1666,37.514,1389,0.915,4441
28,Brook Lopez,2015-16,1660,34.511,1432,0.938,4810
29,Steven Adams,2017-18,1632,32.983,1343,0.910,4948
30,Nikola Vucevic,2016-17,1627,37.402,1419,0.878,4350
31,DeAndre Jordan,2016-17,1623,31.718,1399,0.859,5117
32,Deandre Ayton,2018-19,1622,35.901,1338,0.940,4518
33,DeAndre Jordan,2015-16,1608,31.133,1390,0.834,5165
34,Nikola Vucevic,2019-20,1600,39.091,1339,0.967,4093
35,DeAndre Jordan,2013-14,1588,27.938,1356,0.835,5684
36,Marcin Gortat,2015-16,1571,34.414,1325,0.869,4565
37,Brook Lopez,2020-21,1567,38.922,1336,0.981,4026
38,Pau Gasol,2014-15,1564,30.065,1380,0.874,5202
39,Steven Adams,2016-17,1564,32.314,1309,0.968,4840
40,Brook Lopez,2016-17,1547,33.312,1345,0.930,4644
41,Dwight Howard,2016-17,1543,35.068,1306,0.896,4400
42,Rudy Gobert,2020-21,1538,34.239,1320,0.838,4492
43,Dwight Howard,2015-16,1536,33.810,1300,0.895,4543
44,Karl-Anthony Towns,2018-19,1532,29.209,1318,0.899,5245
45,Al Jefferson,2013-14,1513,31.397,1285,0.888,4819
46,Marcin Gortat,2017-18,1511,36.533,1251,0.919,4136
47,Marc Gasol,2014-15,1503,29.523,1284,0.897,5091
48,Robin Lopez,2016-17,1503,33.836,1308,0.918,4442
49,Greg Monroe,2015-16,1499,33.091,1229,0.954,4530
50,Montrezl Harrell,2018-19,1494,32.499,1268,0.950,4597
51,Andre Drummond,2014-15,1489,30.989,1295,0.903,4805
52,Pau Gasol,2015-16,1484,32.666,1300,0.829,4543
53,DeAndre Jordan,2017-18,1477,30.204,1286,0.933,4890
54,Marcin Gortat,2013-14,1474,28.982,1240,0.808,5086
55,Robin Lopez,2015-16,1473,34.659,1285,0.904,4250
56,Marcin Gortat,2014-15,1465,30.540,1234,0.867,4797
57,John Henson,2017-18,1456,37.564,1199,0.887,3876
58,Hassan Whiteside,2015-16,1453,35.500,1257,0.845,4093
59,DeAndre Jordan,2014-15,1447,26.247,1258,0.873,5513
60,Jusuf Nurkic,2017-18,1446,34.453,1244,0.885,4197
61,Al Horford,2018-19,1414,34.939,1198,0.943,4047
62,Serge Ibaka,2018-19,1409,34.291,1202,0.911,4109
63,DeAndre Jordan,2018-19,1408,33.564,1203,0.942,4195
64,Brook Lopez,2019-20,1407,36.207,1171,0.884,3886
65,JaVale McGee,2018-19,1396,39.104,1178,0.892,3570
66,Nikola Jokic,2017-18,1395,29.044,1178,0.960,4803
67,Jusuf Nurkic,2018-19,1384,33.731,1153,0.894,4103
68,Jonas Valanciunas,2014-15,1383,34.377,1198,0.872,4023
69,Brook Lopez,2014-15,1377,34.169,1165,0.860,4030
70,Hassan Whiteside,2019-20,1376,33.398,1177,0.933,4120
71,Al Horford,2015-16,1371,25.878,1173,0.867,5298
72,Jonas Valanciunas,2019-20,1369,34.995,1180,0.905,3912
73,Ivica Zubac,2020-21,1367,42.087,1158,0.996,3248
74,Robin Lopez,2018-19,1362,42.311,1154,0.964,3219
75,Joel Embiid,2017-18,1355,35.611,1146,0.857,3805
76,Jarrett Allen,2019-20,1353,35.198,1138,0.956,3844
77,Robin Lopez,2013-14,1348,26.344,1201,0.832,5117
78,Clint Capela,2018-19,1344,29.767,1158,0.945,4515
79,Al Jefferson,2014-15,1342,35.223,1168,0.912,3810
80,Clint Capela,2020-21,1338,34.609,1165,0.947,3866
81,Andre Drummond,2019-20,1338,35.939,1140,0.971,3723
82,Jakob Poeltl,2020-21,1336,35.494,1156,0.984,3764
83,Greg Monroe,2016-17,1333,37.141,1104,0.921,3589
84,Joel Embiid,2020-21,1333,40.665,1103,0.898,3278
85,Enes Freedom,2020-21,1324,37.327,1124,0.979,3547
86,Nikola Vucevic,2014-15,1322,26.837,1139,0.927,4926
87,Andre Drummond,2013-14,1313,25.710,1136,0.944,5107
88,Dwight Howard,2013-14,1305,27.707,1094,0.868,4710
89,Myles Turner,2019-20,1303,35.312,1063,0.913,3690
90,Karl-Anthony Towns,2015-16,1297,24.880,1107,0.870,5213
91,Jonas Valanciunas,2016-17,1293,32.734,1101,0.935,3950
92,Richaun Holmes,2020-21,1290,35.140,1139,0.982,3671
93,Jarrett Allen,2018-19,1288,29.246,1118,0.948,4404
94,Roy Hibbert,2013-14,1284,28.183,1107,0.837,4556
95,Rudy Gobert,2017-18,1283,35.452,1086,0.864,3619
96,DeMarcus Cousins,2017-18,1282,36.379,1059,0.924,3524
97,Jonas Valanciunas,2020-21,1277,35.015,1088,0.935,3647
98,Spencer Hawes,2013-14,1276,25.587,1086,0.898,4987
99,Enes Freedom,2018-19,1275,38.231,1091,1.034,3335
100,Mason Plumlee,2016-17,1275,29.651,1106,0.955,4300
101,Steven Adams,2019-20,1274,37.132,1037,0.959,3431
102,Clint Capela,2017-18,1270,31.288,1096,0.932,4059
103,Steven Adams,2015-16,1270,31.482,1081,0.793,4034
104,Steven Adams,2020-21,1268,38.979,1060,0.990,3253
105,Myles Turner,2017-18,1267,34.703,1073,0.962,3651
106,Enes Freedom,2017-18,1247,34.467,1098,0.959,3618
107,Robin Lopez,2020-21,1238,43.515,1048,0.957,2845
