Screener Defender,Season,Picks,Picks Per 100 Possessions,Possessions,Points Per Chance,Possessions (Total),SSI Player ID
Clint Capela,2017-18,157,15.468,141,0.858,1015,ff414a2b-89ef-11e6-a46a-a45e60e298d3
Marcus Morris Sr.,2020-21,99,8.418,92,0.837,1176,ff429d26-89ef-11e6-a6f3-a45e60e298d3
Bam Adebayo,2021-22,91,7.791,85,1.000,1168,61fc6b15-5ce2-4613-a67b-f15bada3aa57
Bam Adebayo,2019-20,89,6.563,81,0.805,1356,61fc6b15-5ce2-4613-a67b-f15bada3aa57
Tristan Thompson,2017-18,69,8.869,66,1.119,778,ff41f1fa-89ef-11e6-a048-a45e60e298d3
Kevon Looney,2017-18,69,8.636,65,0.923,799,ff4170c2-89ef-11e6-83e1-a45e60e298d3
Kevon Looney,2018-19,67,7.486,64,0.969,895,ff4170c2-89ef-11e6-83e1-a45e60e298d3
Giannis Antetokounmpo,2020-21,67,4.203,63,0.921,1594,ff423b75-89ef-11e6-a507-a45e60e298d3
Draymond Green,2017-18,62,3.801,55,0.891,1631,ff41a38c-89ef-11e6-b14d-a45e60e298d3
Clint Capela,2018-19,57,8.689,52,0.981,656,ff414a2b-89ef-11e6-a46a-a45e60e298d3
Larry Nance Jr.,2017-18,54,9.199,50,0.843,587,ff410bab-89ef-11e6-856b-a45e60e298d3
Jeff Green,2019-20,52,7.504,45,0.756,693,ff4177f3-89ef-11e6-95d8-a45e60e298d3
Brook Lopez,2020-21,51,3.812,47,0.915,1338,ff423f0c-89ef-11e6-99c1-a45e60e298d3
  Nene,2017-18,50,22.523,46,0.978,222,ff4295ee-89ef-11e6-8d6a-a45e60e298d3
Kevin Love,2017-18,49,3.990,48,0.979,1228,ff42aecf-89ef-11e6-8cb8-a45e60e298d3
Brandon Clarke,2021-22,47,7.378,44,0.909,637,8c8c43ec-1dc2-4cf0-a68b-641c8fb6e45d
JaVale McGee,2017-18,46,14.791,42,0.929,311,ff41d4eb-89ef-11e6-8055-a45e60e298d3
Draymond Green,2014-15,44,2.841,42,1.000,1549,ff41a38c-89ef-11e6-b14d-a45e60e298d3
Larry Nance Jr.,2021-22,43,13.313,36,0.919,323,ff410bab-89ef-11e6-856b-a45e60e298d3
P.J. Tucker,2019-20,41,4.958,38,0.763,827,ff41362b-89ef-11e6-babd-a45e60e298d3
Bobby Portis,2020-21,40,5.450,34,1.057,734,ff41f651-89ef-11e6-95ed-a45e60e298d3
Precious Achiuwa,2021-22,38,11.950,34,1.235,318,acdc968b-e5a7-4251-9fb6-d54204d6fdd2
Tristan Thompson,2016-17,37,3.307,35,0.886,1119,ff41f1fa-89ef-11e6-a048-a45e60e298d3
DeAndre Jordan,2014-15,36,3.715,33,0.697,969,ff401ff8-89ef-11e6-99ab-a45e60e298d3
Draymond Green,2016-17,35,2.832,32,1.156,1236,ff41a38c-89ef-11e6-b14d-a45e60e298d3
Al Horford,2021-22,34,2.122,32,0.719,1602,ff427c2e-89ef-11e6-8d2a-a45e60e298d3
David West,2016-17,33,7.551,31,0.903,437,ff42cc75-89ef-11e6-a9c8-a45e60e298d3
Steven Adams,2017-18,32,7.921,30,0.567,404,ff420623-89ef-11e6-9b37-a45e60e298d3
