,Screener Defender,Season,Picks,Picks Per 100 Possessions,Possessions,Points Per Chance,Possessions (Total)
1,Clint Capela,2018-19,537,11.894,490,0.939,4515
2,Clint Capela,2017-18,447,11.013,413,0.916,4059
3,Bam Adebayo,2020-21,365,8.574,339,0.862,4257
4,Kevon Looney,2018-19,335,10.679,312,0.933,3137
5,Julius Randle,2017-18,245,5.399,228,0.996,4538
6,Richaun Holmes,2020-21,230,6.265,222,0.941,3671
7,P.J. Tucker,2019-20,221,4.226,198,0.909,5229
8,Clint Capela,2019-20,214,7.836,192,1.073,2731
9,Bismack Biyombo,2020-21,199,7.226,183,0.956,2754
10,David West,2017-18,182,9.183,161,0.901,1982
11,DeAndre Jordan,2017-18,180,3.681,168,0.958,4890
12,Draymond Green,2018-19,173,3.962,152,1.046,4366
13,  Nene,2017-18,171,10.976,157,0.911,1558
14,P.J. Washington,2020-21,170,4.280,155,0.923,3972
15,Nic Claxton,2020-21,170,14.003,159,0.714,1214
16,DeAndre Jordan,2016-17,162,3.166,150,0.887,5117
17,Montrezl Harrell,2018-19,161,3.502,148,1.135,4597
18,Tristan Thompson,2016-17,155,3.329,148,0.953,4656
19,Steven Adams,2017-18,151,3.052,142,1.014,4948
20,Tristan Thompson,2017-18,151,6.879,142,1.084,2195
21,Willie Cauley-Stein,2018-19,144,3.045,137,1.044,4729
22,Mitchell Robinson,2018-19,143,5.155,135,1.089,2774
23,DeAndre Jordan,2020-21,140,5.437,131,1.098,2575
24,Jeff Green,2020-21,139,3.642,127,1.102,3817
25,Bam Adebayo,2019-20,137,2.838,127,1.047,4828
26,Dwight Powell,2018-19,130,3.840,118,0.924,3385
27,Draymond Green,2016-17,127,2.466,118,0.898,5149
28,Steven Adams,2018-19,123,2.178,117,0.897,5647
29,Ryan Anderson,2017-18,123,3.538,110,1.064,3477
30,Cody Zeller,2020-21,121,5.888,113,0.885,2055
31,Marquese Chriss,2019-20,120,4.813,109,1.119,2493
32,Tarik Black,2017-18,117,10.724,111,0.775,1091
33,Draymond Green,2017-18,116,2.431,110,0.909,4771
34,Christian Wood,2020-21,115,4.149,106,0.991,2772
35,Montrezl Harrell,2017-18,115,4.304,103,0.680,2672
36,Jeff Green,2019-20,115,5.651,106,0.720,2035
37,Mitchell Robinson,2019-20,113,3.886,103,1.117,2908
38,Kevon Looney,2020-21,113,4.669,107,0.787,2420
39,Zaza Pachulia,2016-17,112,4.244,100,0.770,2639
40,Isaiah Stewart,2020-21,110,3.725,101,0.941,2953
41,Draymond Green,2020-21,107,2.533,98,1.071,4224
42,Nerlens Noel,2018-19,106,4.858,97,0.866,2182
43,Blake Griffin,2020-21,105,4.429,100,0.900,2371
44,Montrezl Harrell,2019-20,105,2.825,94,0.968,3717
45,Joel Embiid,2018-19,104,2.342,97,0.959,4441
46,Kevon Looney,2017-18,103,5.574,97,0.990,1848
47,Brook Lopez,2017-18,102,2.830,94,0.926,3604
48,Kenneth Faried,2018-19,102,6.786,95,0.895,1503
49,Clint Capela,2016-17,101,3.179,93,1.202,3177
50,Dwight Powell,2017-18,101,3.056,95,1.021,3305
51,  Nene,2016-17,98,3.877,92,0.783,2528
52,Draymond Green,2015-16,98,1.669,94,0.830,5873
53,Steven Adams,2016-17,98,2.025,92,0.837,4840
54,Mason Plumlee,2018-19,98,2.814,91,0.802,3483
55,Kelly Olynyk,2020-21,97,2.354,93,0.946,4121
56,Al Horford,2018-19,97,2.397,93,1.043,4047
57,Montrezl Harrell,2016-17,97,4.439,90,1.133,2185
58,Patrick Patterson,2017-18,94,3.941,88,0.852,2385
59,Bobby Portis,2020-21,94,3.226,89,0.711,2914
60,Bobby Portis,2018-19,93,3.539,88,1.159,2628
61,David West,2016-17,93,5.539,87,0.977,1679
62,DeAndre Jordan,2015-16,91,1.762,85,0.847,5165
63,DeAndre Jordan,2018-19,91,2.169,84,1.012,4195
64,Marcin Gortat,2017-18,90,2.176,84,0.940,4136
65,P.J. Tucker,2017-18,90,1.970,84,0.869,4569
66,Andre Drummond,2018-19,89,1.671,81,1.222,5326
67,Jordan Bell,2018-19,88,5.395,81,1.012,1631
68,Wendell Carter Jr.,2018-19,88,3.995,83,0.831,2203
69,Deandre Ayton,2020-21,88,2.080,83,1.120,4231
70,Mason Plumlee,2020-21,87,2.885,78,1.038,3016
71,Cody Zeller,2018-19,87,3.412,80,1.250,2550
72,Isaiah Hartenstein,2018-19,87,19.248,80,0.913,452
73,Taj Gibson,2019-20,86,4.163,82,0.963,2066
74,JaVale McGee,2018-19,85,2.381,79,0.873,3570
75,Noah Vonleh,2018-19,85,2.426,74,0.946,3504
76,Jae'Sean Tate,2020-21,85,1.998,81,0.927,4254
77,Tristan Thompson,2015-16,85,1.936,81,0.938,4390
78,Joel Embiid,2017-18,85,2.234,80,0.813,3805
79,Larry Nance Jr.,2017-18,85,2.904,81,0.963,2927
80,  Nene,2018-19,85,7.665,76,0.803,1109
81,Mason Plumlee,2017-18,84,2.872,78,1.077,2925
82,Nikola Jokic,2018-19,84,1.677,79,1.038,5010
83,P.J. Tucker,2020-21,83,2.926,77,1.091,2837
84,Nerlens Noel,2014-15,83,1.821,76,0.844,4558
85,Kevin Love,2017-18,83,2.505,81,1.099,3314
86,Zaza Pachulia,2017-18,82,4.067,77,1.039,2016
87,Pau Gasol,2016-17,80,2.598,73,0.959,3079
88,Dwight Howard,2015-16,80,1.761,76,0.842,4543
89,Mason Plumlee,2019-20,79,3.626,72,0.770,2179
90,Deandre Ayton,2018-19,79,1.749,76,0.684,4518
91,Johnathan Williams,2018-19,79,10.286,74,1.080,768
92,DeMarcus Cousins,2018-19,78,4.815,72,1.014,1620
93,Dwight Powell,2016-17,78,3.121,74,0.865,2499
94,Bismack Biyombo,2019-20,78,3.854,76,1.026,2024
95,Marvin Williams,2018-19,77,1.777,72,1.055,4332
96,Myles Turner,2018-19,77,1.801,74,0.932,4275
97,JaVale McGee,2017-18,76,5.951,72,1.000,1277
98,Steven Adams,2015-16,76,1.884,69,0.623,4034
99,Damian Jones,2019-20,75,3.985,73,1.123,1882
100,Brandon Bass,2015-16,74,2.787,69,0.942,2655
101,Serge Ibaka,2018-19,74,1.801,70,0.871,4109
102,Willie Cauley-Stein,2019-20,74,3.286,63,0.828,2252
103,Richaun Holmes,2018-19,73,2.989,63,0.794,2442
104,Dewayne Dedmon,2018-19,73,2.149,68,0.783,3397
105,Precious Achiuwa,2020-21,73,4.822,68,0.676,1514
106,Anthony Davis,2016-17,73,1.329,64,0.953,5494
107,P.J. Tucker,2018-19,72,1.278,64,0.844,5635
108,Thomas Bryant,2018-19,72,2.310,67,0.985,3117
109,Patrick Patterson,2020-21,72,6.128,65,0.877,1175
110,Noah Vonleh,2016-17,71,2.835,66,0.896,2504
111,Marc Gasol,2016-17,70,1.449,68,0.721,4831
112,Jeff Green,2018-19,70,1.614,65,0.985,4337
113,Cristiano Felicio,2018-19,70,4.605,66,1.061,1520
114,Grant Williams,2020-21,70,3.004,68,1.191,2330
115,Maxi Kleber,2017-18,69,2.877,68,0.912,2398
116,Miles Bridges,2020-21,69,1.737,65,0.923,3973
117,Anthony Davis,2015-16,68,1.560,61,1.115,4360
118,DeAndre Jordan,2014-15,68,1.233,64,0.875,5513
119,Julius Randle,2016-17,68,1.560,68,1.162,4360
120,Damian Jones,2018-19,68,8.105,60,1.017,839
121,Bismack Biyombo,2016-17,67,1.901,65,0.969,3525
122,JJ Hickson,2014-15,67,2.377,62,0.887,2819
123,Maxi Kleber,2018-19,67,2.185,64,1.094,3066
124,Marvin Bagley III,2020-21,66,2.861,65,1.185,2307
125,Serge Ibaka,2019-20,66,2.132,63,0.873,3096
126,Anthony Davis,2017-18,65,1.140,57,0.807,5704
127,Karl-Anthony Towns,2017-18,65,1.132,60,1.050,5740
128,Clint Capela,2015-16,65,2.186,60,0.633,2974
129,Enes Freedom,2017-18,65,1.797,58,0.729,3618
130,Marcin Gortat,2016-17,65,1.268,59,0.729,5125
131,Jeff Green,2017-18,65,1.738,59,1.017,3739
132,Terrence Jones,2013-14,65,1.583,60,0.800,4107
133,Robin Lopez,2018-19,65,2.019,62,0.887,3219
134,Cody Zeller,2019-20,65,2.497,62,1.290,2603
135,Xavier Tillman,2020-21,65,2.912,59,0.797,2232
136,Robert Covington,2020-21,64,1.396,60,0.983,4583
137,Brook Lopez,2020-21,64,1.590,59,1.119,4026
138,Richaun Holmes,2019-20,64,2.555,59,1.220,2505
139,Bismack Biyombo,2018-19,64,4.048,58,0.881,1581
140,Myles Turner,2017-18,63,1.726,60,1.100,3651
141,Ian Mahinmi,2017-18,63,2.762,57,0.772,2281
